#deck:Fantastico! - 07 - Ti Piace
"Ti place?";"Gefallt es dir?"
"placere' a qualcuno";"jdm gefallen"
"I'evento";"Event, Veranstaltung"
"il weekend";"Wochenende"
"agosto";"August"
"la mostra";"Ausstellung"
"la mostra d'arte";"Kunstausstellung"
"la Gallerla Nazlonale";"Nationalgalerie fur moder-"
"d'Arte moderna";"ne Kunst in Rom"
"lo spettacolo";"Vorstellung"
"la danza dlassica";"Ballett"
"il lago del cignl";"Schwanensee"
"il Circo Massimo";"Circus Maximus"
"il cinema all'aperto";"Freiluftkino"
"la degustazlone";"Verkostung"
"l'enoteca";"WeinhandlungWeinlokal"
"il concerto";"Konzert"
"la musica pop";"Popmusik"
"il teatro dell'opera";"Operntheater"
"l'opera Urica";"Oper"
"leterme pl";"Therme"
"Il torneo";"Tumier"
"glocare a tennis";"Tennis spielen"
"il tennis";"Tennis"
"glocare a calco";"FuBball spielen"
"Icaldo";"FuBball"
"lo stadio olimpico";"Olympiastadion"
"la commedia teatrale";"Theaterkomodie"
"corto/a";"kurz"
"la sala";"Saal"
"la palestra";"Fitnessstudio"
"suonare";"spielen (Instrument)"
"lo strumento";"Instrument"
"leggere";"lesen"
"sclare";"Ski fahren"
"nuotare";"schwimmen"
"guardare";"anschauen"
"il balletto";"Ballett"
"cucinare";"kochen"
"ascoltare";"hören"
"alla radio";"im Radio"
"il tempo libero";"Freizeit"
"libero/a";"frei"
"Il fine settimana";"Wochenende"
"Tl place andare..";"Gehst du germe"
"andare In bid";"Fahrrad fahren"
"andare a correre";"joggen gehen"
"guardare la televislone";"fernsehen"
"lavorare in glardino";"im Garten arbeiten"
"uscire"";"ausgehen"
"andare a vedere";"besuchen, gehen zu"
"poco aw";"wenig"
"molto gyy";"viel"
"soprattutto";"vor allem"
"in streaming";"im Streaming"
"ognl tanto";"manchmal"
"I'evento sportivo";"Sportereignis"
"raramente";"selten"
"non... quasi mal";"fast nie"
"classico/a pl-ci/-che";"klassisch"
"la ginnastica";"Gymnastik"
"fare camminate";"wandern"
"in montagna";"in den Bergen"
"in bicicetta";"mit dem Fahrrad"
"altrl/e pl";"andere"
"pigro/a";"faul"
"circa";"circa"
"non... mal";"nie"
"glocare a carte";"Karten spielen"
"non...nlente";"nichts"
"moltissimo";"wirklich sehr"
"ragazzi,";"hier: Leute"
"il/la ragazzo/a";"junger Mann/junge Frau"
"stasera";"heute Abend"
"Perché no?";"Warum nicht?"
"la discoteca";"Disco"
"mi place";"mir gefallt, ich mag"
"non... per niente";"Oberhaupt nicht"
"ballare";"tanzen"
"il festival";"Festival"
"la musica lazz";"Jazzmusik"
"Dal!";"Komm!"
"mi placclono";"mir gefallen, ich mag"
