#deck:Fantastico! - 12 - Come Mi Sta
"stare";"hier: stehen (Kleidung)"
"I pantalonl pl";"Hose"
"la gonna";"Rock"
"Il magllone";"Pullover"
"Il vestito";"Kleid"
"la camicla";"Hemd"
"la sciarpa";"Schal"
"lo scamblo";"Tausch"
"Ilcortile";"Hof"
"Il centro soclale";"Sozialzentrum"
"polivalente";"Mehrzweck-"
"scamblare";"tauschen"
"l'abito";"Kleidung(sstuck)"
"l'accessorlo";"Accessoire"
"secondo/a";"zweite/r/s"
"I vestiti pl";"hier: Kleidung"
"mettere";"hier: anziehen"
"non.. plu";"nicht mehr"
"riciclare";"recyceln"
"buttare yla";"wegschmeiBen"
"numeroso/a";"zahlreich"
"mettersl";"anziehen"
"il berretto";"MOtze"
"a buon prezzo";"preisgunstig"
"la maglletta";"(T-)Shirt"
"di seconda mano";"Secondhand-"
"portare";"hier: tragen (Kleidung)"
"la cintura";"Gurtel"
"Il modello";"Modell"
"la cravatta";"Krawatte"
"provare";"hier: anprobieren"
"la taglla";"(Kleider)GroBe"
"Indossare";"tragen"
"il camerino";"Umkleidekabine"
"Il cappotto";"Mantel"
"DI che colore e?";"Welche Farbe hat es?"
"ilcolore";"Farbe"
"Il capo d'abbigliamento";"KleidungsstOck"
"se";"hier: ob"
"l'affermazione f";"Behauptung"
"nero/a";"schwarz"
"verde";"grūn"
"glallo/a";"gelb"
"arancione";"orange"
"viola";"lila"
"rosa";"rosa"
"marrone";"braun"
"grlglo/a";"grau"
"I'armadio";"Schrank"
"deve inf dovere";"er/sie/es muss"
"circolare";"Kreislauf-"
"tenere"";"behalten"
"usato/a";"gebraucht"
"a qualcuno";"jemandem"
"qualcuno";"jemand/en"
"online";"online"
"dare in beneficenza";"spenden"
"quello/a";"der/die/das da"
"dimostrativo/a";"Demonstrativ-"
"carino/a";"hubsch"
"Il flore";"Blume"
"orlginale";"originell"
"andare di moda";"modern sein, in sein"
"evero";"das stimmt"
"abbinare a";"kombinieren mit"
"stare bene insleme";"gut zusammenpassen"
"non... neanche";"nicht einmal"
"ljeans pl";"Jeans"
"I guanti pl";"Handschuhe"
"Interessare a qn";"jdn interessieren"
"sistemare";"ausbreiten, zurechtlegen"
"alutare";"helfen"
"Interessato/a";"interessiert"
"Il lino";"Leinen"
"lagglu";"da druben"
"anzl";"besser noch"
"Che ne pensi di...?";"Wie findest du …?"
"andare bene a qn";"jdm recht sein"
"Affare fatto!";"Abgemacht!"
"qualcos'altro";"etwas anderes"
