#deck:Fantastico! - 08 - E Stato Fantastico
"e stato/a";"ist gewesen"
"ill regalo";"Geschenk"
"la madre";"Mutter"
"Il fratello";"Bruder"
"gli auguri pl";"GlockwOnsche"
"Il/la cugino/a";"Cousin/Cousine"
"il marito";"(Ehe)Mann"
"ll/la figllo/a";"Sohn/Tochter"
"Il padre";"Vater"
"la moglle";"(Ehe)Frau"
"la sorella";"Schwester"
"Il/la nipote";"Neffe/Nichte; Enkel/in"
"il compleanno";"Geburtstag"
"I genitorl pl";"Eltern"
"la glta";"Ausflug"
"festegglare";"feiern"
"andare a manglare";"essen gehen"
"pronto/a";"fertig, bereit"
"suo/a";"sein/e: jhr/e"
"telecomandato/a";"ferngesteuert"
"arrivare";"ankommen"
"Il fotolibro";"Fotobuch"
"la borsa";"Tasche"
"ha lasclato";"er/sie hat gelassen"
"lasclare";"lassen"
"lo/la zlo/a";"Onkel/Tante"
"ascere";"geboren werden"
"il  settembre";"am . September"
"da bambino/a";"als Kind"
"Il planoforte";"Klavier"
"il canto lirico";"Operngesang"
"Iniziare";"beginnen"
"il plano-bar";"Lokal mit Live-Klaviermu-<br>sik"
"lo";"hier: ihn"
"chlamare";"nennen"
"Il tenore";"Tenor"
"il perlodo";"Zeitraum"
"Incontrare";"treffen"
"nel";"(im Jahr)"
"loro";"ihr/e(pl)"
"l'anno";"Jahr"
"dopo";"hier: spater"
"mentre";"wahrend"
"sempre plu";"immer mehr"
"il successo";"Erfolg"
"in tutto il mondo";"auf der ganzen Welt"
"Ilmondo";"Welt"
"Ifigll pl";"Kinder"
"crescere";"wachsen"
"anche se";"auch wenn"
"l'ingegnere m/f";"Ingenieur/in"
"come lavoro";"beruflich"
"il divorzio";"Scheidung"
"conoscere";"hier: kennenlernen"
"unico/a pl-c/-che";"einzige/r/s"
"Insleme a";"zusammen mit"
"l'architetto/a";"Architekt/in"
"in comune";"gemeinsam"
"produrre"";"herstellen, produzieren"
"gestire (-isc-)";"fuhren"
"infattl";"tatsachlich, in der Tat"
"l'azienda";"Betrieb"
"agricolo/a";"Landwirtschafts"
"la medicina";"Medizin"
"il cocktall";"Cocktail"
"fare una grigllata";"grillen"
"filmare";"filmen"
"l'invitato/a";"Gast"
"il ping-pong";"Tischtennis"
"lerl";"gestern"
"tre glornl fa";"vor drei Tagen"
"...fa";"vor ..(zeitlich)"
"la settimana scorsa";"letzte Woche"
"...scorso/a";"letzte/n/s..(zeitlich)"
"la Svizzera";"Schweiz"
"il/la compagno/a";"Partner/in"
"simpatico/a pl-ci/-che";"sympathisch"
"tuttl";"alle"
"prima";"zuerst"
"il karaoke";"Karaoke"
"alla fine";"am Schluss, am Ende"
"la fine";"Ende, Schluss"
"plù tardi";"spater"
"tardi";"spat"
"Il/la manglafuoco";"Feuerschlucker/in"
"all'improvviso";"plötzlich"
"la tovaglia";"Tischdecke"
"prendere fuoco";"Feuer fangen"
"per fortuna";"zum Glock"
"la fortuna";"Gluck"
"andare a prendere";"holen"
"l'estintore m";"Feuerloscher"
"finire bene";"gut ausgehen"
"ricevere";"bekommen, erhalten"
"l'abbracclo pl-c";"Umarmung"
"ll racconto";"Erzahlung"
"IU/la VIP";"VIP"
"il motto";"Motto"
"chiamare";"hier: anrufen"
"Il/la fotografo/a";"Fotograf/in"
"decidere";"entscheiden"
"Il menu";"Menu"
"Il catering";"Catering"
"Buon compleanno!";"Alles Gute zum Geburts-<br>tag!"
"gennalo m";"Januar"
"febbraiom";"Februar"
"marzom";"Marz"
"aprilem";"April"
"magglo m";"Mai"
"lugllom";"Juli"
"settembre m";"September"
"novembrem";"November"
"dicembre m";"Dezember"
"a cena";"zum Abendessen"
"INC Il/la compagno/a di<br>scuola";"Mitschuler/in"
"In modo educativo";"mit Lerneffekt"
"educativo/a";"erzieherisch, Bildungs-"
"diverso/a dal solito";"anders als sonst"
"la Lombardla";"Lombardei"
"la gulda ambientale";"Natur-und Landschafts"
"escursionistica";"Fuhrer/in"
"amblentale";"Umwelt-"
"escursionistico/a<br>pl-ci/-che";"Wander-"
"il/la blogger";"Blogger/in"
"l'oasl f";"Oase; hier: Naturschutge-<br>biet"
"il bosco";"Wald"
"la possibilita";"Moglichkeit"
"la cacda al tesoro";"Schatzsuche"
"creativo/a";"kreativ"
"l'osservazlone f";"Beobachtung"
"l'uccello";"Vogel"
"la plastica";"Plastik"
"Il cibo";"Essen, Nahrung"
"blo";"Bio-"
"il fast food";"Fastfood(restaurant)"
"davvero";"wirklich"
"spedale";"besondere/r/s"
"a contatto con";"in Kontakt mit"
"l'escursione f";"Exkursion, Ausflug"
"Il Tidno";"Tessin"
"I'area naturalistica";"Naturschutzgebiet"
"lombardo/a";"lombardisch"
"possibile";"mǒglich"
"osservare";"beobachten"
"segreto/a";"geheim"
"Imparare";"lernen"
"i possessivl pl";"Posssessivbegleiter"
"l Museo Egizio";"Agyptisches Museum"
"adorare";"lieben"
"il taxi";"Taxi"
"regalare";"schenken"
"fare shopping";"shoppen gehen"
"ll tango";"Tango"
"Il Mediterraneo";"Mittelmeer"
"a ricordare";"sich erinnern an"
"a la lettera";"Buchstabe"
"b ripetere";"wiederholen"
