#deck:Fantastico! - 15 - Rivediamo 3
"la pausa pranzo";"Mittagspause"
"la mensa";"Kantine, Menda"
"IlPC";"PC"
"il platto pronto";"Fertiggericht"
"il cibo precotto";"Fertiggericht"
"il pasto";"Mahlzeit"
"lo spunting";"Zwischenmahlzeit, Imbiss"
"scaldare";"aufwarmen"
"aziendale";"Firmen-"
"comune";"oblich"
"Il/la fortunato/a";"Gluckliche/r"
"comprendere";"umfassen, bestehen aus"
"precedere";"voran-/vorausgehen"
"mettere nell'ordine";"in die richtige Reihenfolge"
"corretto";"bringen"
"sbagllato/a";"falsch"
"beige";"beige"
"farsi male a";"sich wehtun an"
"bravo/a";"gut"
"Ideale";"ideal"
"arredare";"einrichten"
"ridisegnare";"neu zeichnen"
"il disegno";"Zeichnung"
"guadagnare";"bekommen"
"il punto";"Punkt"
"vincere";"gewinnen"
"plù";"hier:mehr"
"male";"schlecht"
"pessimista";"pessimistisch"
"l'uscita";"Ausgang"
"prendere freddo";"sich verkuhlen"
"avere male a";"Schmerzen haben an"
"migliore";"beste/r/s"
