#html:true
#deck:Fantastico! A1::04 - Nomi cosi citta
"lacosa";"Ding, Sache"
"ill capoluogo pl-ghi";"Hauptstadt der Region"
"la Ligurla";"Ligurien"
"Il vicolo";"Gasse"
"stretto/a";"eng"
"il palazzo";"Gebaude"
"storico/a pl-ci/-che";"historisch"
"il porto";"Hafen"
"Importante";"wichtig"
"siciliano/a";"sizilianisch"
"al pledi dell'Etna";"am FuBe des Atna"
"il plede";"FuB"
"I'Etnam";"Atna"
"il mercato";"Markt"
"ill pesce";"Fisch"
"al confine con";"an der Grenze Zu"
"il confine";"Grenze"
"si parla";"man spricht"
"grande";"grof"
"la terza città plu grande";"die drittgroBte Stadt"
"terzo/a";"dritte/r/s"
"più grande";"groBte/r/s"
"davanti a";"vor (örtlich)"
"il golfo";"Golf"
"elegante";"elegant"
"la cattedrale";"Kathedrale"
"il monumento";"Denkmal, Monument"
"la chlesa";"Kirche"
"il quartlere";"Stadtteil,Viertel"
"Il centro storico";"Altstadt"
"Ilcentro";"Zentrum"
"la stazione";"Bahnhof"
"il negozio";"Geschaft"
"da visitare";"sehenswert, zu besicht- <br> gen"
"genovese";"Genuese/Genuesin"
"la pubblicita";"Werbung"
"ill giro turistico";"Rundfahrt"
"Ilgiro";"Runde,Tour"
"turistico/a pl-ci/-che";"touristisch"
"in autobus";"mit dem Bus"
"l'autobus m";"Bus"
"la vislta guldata";"Besichtigung mit Fuhrung"
"a pledi";"zu FuB"
"Il Palazzo Ducale";"Dogenpalast"
"I'Acquarlo";"(Genueser) Aquarium"
"la Blosfera";"Biosphare (botanischer <br> Garten,untergebracht in <br> einer Glaskugel aber dem <br> Meer)"
"principale";"Haupt-, bedeutendste/r"
"la fontana";"(Spring)Brunnen"
"al centro";"im Zentrum, in der Mitte"
"particolare";"besondere/r/s"
"il museo";"Museum"
"Ma non solo!";"Aber das ist nicht alles!"
"non solo";"nicht nur"
"ci sono";"es gibt"
"tipico/a pl-ci/-che";"typisch,ortsublich"
"la bottega pl-ghe";"Laden"
"la casa";"Haus"
"la guida";"Stadtfuhrer/in"
"professlonale";"professionell"
"la persona";"Person"
"che";"der/die/das"
"I'ldea";"Idee, Vorstellung"
"di due ore";"zweistundige/r"
"l'ora";"Stunde"
"Il gruppo";"Gruppe"
"Cosa aspettate?";"Worauf wartet ihr/warten <br> Sie?"
"aspettare";"warten"
"partire";"starten, beginnen"
"tutti I glorni";"jeden Tag"
"tuttl tutte le";"hier: jede/r/s"
"alle...";"um ...(Uhr)"
"In giro per";"unterwegs in"
"I'ufficlo del turismo";"Tourismusburo"
"organizzare";"organiseren"
"durare";"dauern"
"Il costo e di..";"der Preis betragt .."
"di fantasla";"Fantasie-,ausgedacht"
"com'e?";"wie ist?"
"moderno/a";"modern"
"l'orario";"Uhrzeit"
"dalle... alle..";"von ...bis ….(Uhr)"
"l'alfabeto";"Alphabet"
"l'accento";"Akzent"
"Il puntino";"Punkt"
"Come si scrive?";"Wie schreibt man das?"
"qul vicino";"hier in der Nahe"
"la farmacia";"Apotheke"
"la posta";"Post"
"lo studio medico";"Arztpraxis"
"il teatro";"Theater"
"I'edicola";"Zeitungskiosk"
"un'altra volta";"noch einmal"
"a destra di";"rechts von"
"a sinistra di";"links von"
"accanto a";"neben"
"di fronte a";"gegenuber von"
"tra";"zwischen"
"vero/a";"richtig"
"falso/a";"falsch"
"adesso";"jetzt"
"dopo";"nach"
"quale?";"welche/r/s?"
"Il mezzo di trasporto";"Verkehrsmittel"
"che bello/a";"was fur ein/e schone/r/s"
"bello/a";"schǒn"
"vorrel <i> inf volere </i>";"hier: ich wurde gern"
"lontano/a";"weit weg weit entfernt"
"guarda <i> inf guardare </i>";"schau, sieh mal"
"Ii";"dort"
"non so <i> inf sapere </i>";"ich weiB nicht"
"Imezzi pl";"offentliche Verkehrsmittel"
"la metropolitana";"Metro"
"il minuto";"Minute"
"di sollto";"fur gewohnlich"
"stanco/a <i> pl -chi/-che </i>";"mude"
"scusa <i> inf scusare </i>";"entschuldige"
"la macchina";"Auto"
"Il treno";"Zug"
"il tram";"StraBenbahn"
"la bicicletta";"Fahrrad"
"la moto";"Motorrad"
"il monopattino";"E-Roller"
"l'aereo";"Flugzeug"
"I'aeroporto";"Flughafen"
"al lavoro";"hier: zur Arbeit"
"a chledere";"fragen (nach), bitten um"
"l'informazlone f";"Information"
"il treno per";"der Zug nach"
"l'ingresso";"Eintritt"
"A che ora?";"Um wie viel Uhr?"
"comprare";"kaufen"
"il biglietto";"hier: Ticket"
"quando?";"wann?"
"partire";"hier: abfahren, losfahren"
"locale";"ortlich, lokal"
"d l'orarlo dl apertura";"Offnungszeiten"
"INC Il trekking";"Wandern"
"urbano/a";"Stadt-"
"Perche non farlo?";"Warum es nicht tun?"
"ll tour";"Tour"
"esplorare";"erkunden"
"meno";"weniger"
"la citta d'arte";"Kunststadt"
"durante";"wahrend"
"cosi";""
"entrare in contatto con";"hier: hautnah erleben"
"Il contatto";"Kontakt"
"l'aspetto";"Aspekt"
"autentico/a pl-ci-che";"authentisch"
"la vita";"Leben"
"lo slogan";"Motto"
"plù lontano";"weiter"
"le scarpe <i> pl da <br> ginnastica </i>";"Turnschuhe"
"la curiosita";"Neugier"
"camminare";"gehen, laufen"
"ottobre m";"Oktober"
"la glornata";"Tag"
"nazionale";"national"
"nuovo/a";"neu"
"il modo";"Art, Weise"
"Il tipo";"Art"
"la forma";"Form"
"dolce";"hier: sanft"
"l'inizlativa";"Initiative"
"far bene";"guttun"
"Il corpo";"Korper"
"la mente";"Geist"
"Il planeta";"Planet"
"Venezla";"Venedig"
"Plazza San Marco";"Markusplatz"
"ll caffe";"hier: Café"
"archeologico/a <br> pl-ci/-che";"archeologisch"
"gll Ufflzi pl";"Uffizien"
"Il Colosseo";"Kolosseum"
"Ia Fontana di Treyl";"Trevi-Brunnen"
"la torre";"Turm"
"Il Palazzo del Normannl";"Normannenpalast"
"la Cappella Palatina";"Cappella Palatina (Palast- <br> kapelle)"
