#html:true
#deck:Fantastico! A1::06 - Dove fai la spessa
"fare la spesa";"einkaufen"
"la spesa";"Einkauf"
"I'offerta";"Angebot"
"la frutta";"Obst"
"la verdura";"Gemuse"
"la pasta";"Pasta, Nudeln"
"il riso";"Reis"
"I cereali pl";"Getreide"
"la proteina animale";"tierisches EiweiB"
"la bevanda";"Getrank"
"il pacco";"Packung"
"un pacco di.….";"eine Packung"
"la melanzana";"Aubergine"
"il chilo";"Kilo"
"al chilo";"pro Kilo, das Kilo"
"il prosciutto cotto";"gekochter Schinken"
"all'etto";"pro hundert Gramm"
"l'etto";"hundert Gramm"
"lo yogurt";"Joghurt"
"il vasetto";"Becher"
"la mela";"Apfel"
"l'ollo d'oliva";"Olivenol"
"la bottiglia";"Flasche"
"la patata";"Kartoffel"
"gli scampl pl";"Scampi"
"la pera";"Birne"
"la fragola";"Erdbeere"
"il cestino";"hier: Schalchen"
"Il litro";"Liter"
"agglungere"";"hinzufugen"
"il carrello";"hier: Warenkorb"
"la farina";"Mehl"
"Il dolce";"SOBigkeit; Kuchen; Nach- <br> tisch"
"le zucchine pl";"Zucchini"
"Il/la fruttivendolo/a";"Obst-und Gemusehand- <br> ler/in"
"la macellerla";"Metzgerei"
"Il formagglo";"Kase"
"Il basilico";"Basilikum"
"la panetterla";"Backerei"
"Il pezzo";"Stuck"
"l'alimento";"Lebensmittel"
"il/la diente";"Kunde/Kundin"
"un chilo di...";"ein Kilo …."
"la torta";"Torte"
"desiderare";"wunschen"
"pol";"dann"
"essere della zona";"aus der Gegend sein"
"la zona";"Gegend, Gebiet"
"Desldera altro?";"Mochten Sie noch etwas?"
"Ilmomento";"Moment"
"I saltimbocca pl";"gebratene Kalbsschnitzel <br> mit Schinken und Salbei"
"come dolce";"als Nachtisch"
"facdamo <i> inf fare </i>";"wir machen"
"intanto";"in der Zwischenzeit"
"il pecorino";"Pecorino (Sammelbegriff <br> fur verschiedene Schaf <br> milchkasesorten)"
"il parmiglano";"Parmesankase"
"Va bene?";"Okay?"
"mi scusl";"entschuldigen Sie (mich) <br> bitte"
"Uh ma che care!";"Ui. die sind aber teuer!"
"caro/a";"teuer"
"altrimenti";"ansonsten"
"Basta cosi?";"Ist das alles?"
"I centesimo";"Cent"
"ll resto";"Rest(geld)"
"Ma dove sel?";"Wo bist du denn?"
"troppo caro/a";"zu teuer"
"il/la commerciante";"Handler/in"
"mezzo chilo di...";"ein halbes Kilo"
"mezzo/a";"halbe/r/s"
"la confezlone";"(Ver)Packung"
"la quantita";"Menge"
"la marmellata";"Marmelade"
"il pesto";"Pesto"
"ibiscotto";"Keks"
"ll pane";"Brot"
"la carota";"Karotte"
"la carne";"Fleisch"
"a sorpresa";"Oberraschungs-"
"Il pinolo";"Pinienkern"
"I broccoll pl";"Brokkoli"
"l'agllo";"Knoblauch"
"Integrale";"Vollkorn-"
"ll platto";"hier: Gericht"
"vegetarlano/a";"vegetarisch"
"vegano/a";"vegan"
"potere"";"können"
"usare";"hier: verwenden"
"il frigo";"Kuhlschrank"
"l carrello della spesa";"Einkaufswagen"
"l'ora";"hier: Uhrzeit"
"gli orarl pl";"Offnungszeiten"
"da vol";"bei Ihnen; bei euch"
"cenare <br> Il glorno della settimana Wochentag";"zu Abend essen"
"la domenica";"Sonntag"
"la domenica";"sonntags"
"il lunedi";"Montag"
"il lunedi";"montags"
"il martedi";"Dienstag"
"il mercoledi";"Mittwoch"
"Il glovedi";"Donnerstag"
"Il venerdi";"Freitag"
"Il sabato";"Samstag"
"pratico/a <i> pl -c/-che </i>";"praktisch"
"e Importante saperlo";"es ist wichtig, das zu wis- <br> sen"
"vostro/a";"Ihr/e (pl); euer/e"
"puntuale";"punktlich"
"Il ritardo";"Verspatung"
"normale";"normal"
"la regola";"Regel"
"riguardo a.….";"was ….angeht"
"però";"jedoch"
"la differenza";"Unterschied"
"diversl/-e pl";"verschiedene"
"la reglone";"Region"
"il paese";"hier: Dorf"
"aperto/a";"geöffnet"
"alcunl/-e pl";"einige"
"fare orarlo continuato";"durchgehende Offnungs- <br> zeiten haben"
"quindi";"also, folglich"
"a pranzo";"hier: Ober Mittag"
"Il centro commerclale";"Einkaufszentrum"
"tutto/a...";"der/die/das ganze …"
"spesso";"oft"
"la mattina";"Morgen, Vormittag"
"la mattina";"morgens,vormittags"
"una volta";"einmal"
"... volte alla settimana";".mal die Woche"
"qualche";"manche, einige"
"a tutte le ore";"zu jeder Uhrzeit"
"moltl/e";"viele"
"generalmente";"im Allgemeinen"
"chluso/a";"geschlossen"
"I'apertura";"Offnung"
"la trattorla";"Gaststatte"
"Che ora e?/Che ore <br> sono?";"Wie viel Uhr ist es?"
"el'una";"es ist ein Uhr"
"è mezzoglorno";"es ist zwolf Uhr mittags"
"e mezzanotte";"es ist Mitternacht"
"sono le..";"es ist .….(Uhr)"
"di mattina";"morgens"
"di sera";"abends"
"di notte";"nachts"
"sono le... e cinque";"es ist funf nach …"
"sono le... e un quarto";"es ist Viertel nach"
"sono le dled e mezza/ <br> mezzo";"es ist halb elf"
"sono le... meno cinque";"es ist funf vor …."
