#html:true
#deck:Fantastico! A1::11 - Qui si mangia bene
"il primo";"erster Gang"
"la panna cotta";"Pannacotta"
"salato/a";"salzig"
"iltavolo";"Tisch"
"il secondo";"zweiter Gang"
"la grigliata mista";"gemischte Grillplatte"
"misto/a";"gemischt"
"ilcontorno";"Beilage"
"plccante";"scharf"
"Il conto";"Rechnung"
"l'antipasto";"Vorspeise"
"fuorl";"hier: auswarts"
"quante volte?";"wie oft?"
"l'occaslone f";"Gelegenheit"
"l'appunto";"Notiz"
"A che nome?";"Auf welchen Namen?"
"la prenotazione";"hier: Reservierung"
"prenotare";"hier: reservieren"
"rlspondere"";"antworten"
"prendere nota";"notieren"
"il menu";"hier: Speisekarte"
"conoscere";"kennen"
"la tagllata di manzo";"geschnittenes Rindfleisch <br> auf Rucola mit Olivenöl <br> Balsamico und Parmesan"
"it manzo";"Rindfleisch"
"al pomodoro";"mit Tomaten"
"Il crostino";"geröstete WeiBbrotscheibe <br> mit Belag"
"della casa";"nach Art des Hauses"
"di mare";"Meeresfruchte-"
"gll affettati pl";"Aufschnitt"
"le pappardellep";"breite Bandnudeln"
"Il cinghiale";"Wildschwein"
"Il brodo";"Bruhe"
"Iravloll pl";"Ravioli"
"le penne pl";"Penne"
"all'arrabblata";"mit Tomaten,Knoblauch <br> und Chili"
"l'arrosto";"Braten"
"Il malale";"Schwein"
"al forno";"im Ofen gebacken/gebra <br> ten"
"la scaloppina dl vltello";"Kalbsschnitzel"
"Il vitello";"Kalbfleisch"
"il branzino";"Wolfsbarsch"
"la frittura mista";"frittierte Meeresfruchte"
"Il calamaro";"Tintenfisch"
"ripleno/a";"gefullt"
"le patatine fritte pl";"Pommes frites"
"grigllato/a";"gegrillt"
"I cantuccini";"toskanisches Mandelge <br> back"
"Il Vin Santo";"itglienischer Dessertwein"
"la zuppa Inglese";"italienisches Biskuitdessert"
"Il coperto";"Gedeck"
"l'audlo";"Hortext"
"sottolineare";"unterstreichen"
"Il testo";"Text"
"scritto/a <i> inf scrivere </i>";"geschrieben"
"da bere";"zu trinken"
"Il vino della casa";"Hauswein"
"al posto di";"anstelle"
"sentire";"hören"
"ll gloco di ruolo";"Rollenspiel"
"rileggere";"noch einmal lesen"
"ognuno/a";"jeder/jede"
"scrivere";"schreiben"
"l'ordinazione f";"Bestellung"
"scamblarsi";"(aus)tauschen"
"il ruolo";"Rolle"
"tagllare";"schneiden"
"il coltello";"Messer"
"la forchetta";"Gabel"
