#html:true
#deck:Fantastico! A1::DE -> IT::02 - Un albergo
"Hotel";"l'albergo pl-ghi"
"am Meer";"al mare"
"Bucht";"la bala"
"blau";"blu"
"suchen";"cercare"
"Sonne";"Il sole"
"hier";"qul"
"fur euch; fur Sie";"per vol"
"bietet";"offre <i> inf offrire </i>"
"alles";"tutto"
"Dienstleistung";"Il servizlo <i> pl servizi </i>"
"Terrasse";"la terrazza"
"Wellnessbereich";"I centro benessere"
"hier:Fitnessraum";"la palestra"
"Schwimmbad";"la piscina"
"Parkplatz";"il parchegglo"
"Animation";"l'animazione f"
"Zimmer";"la camera <i> pl camere </i>"
"Balkon";"Il balcone"
"Meerblick";"yis"
"Aussicht, Blick";"la vista"
"Bad";"Il bagno"
"Minibar";"il minibar"
"WLAN";"Il WI-FI"
"Fernseher";"Il televisore"
"in der Umgebung, in der <br> Nahe";"nel dintornl"
"Umgebung";"I dintorni pl"
"hier: offentlich";"libero/a"
"Park";"il parco pl-chi"
"Natur-";"naturale"
"Aktivitat";"l'attivita"
"Spaziergang";"la passeggiata <br> <i> pl passeggiate </i>"
"Sport";"lo sport"
"Wasser-";"acquatico/a pl-ci-che"
"Tennisplatz";"il campo da tennis"
"Sauna";"la sauna"
"FruhstOck";"la colazlone"
"Aufzug";"I'ascensore m"
"Klimaanlage";"l'arla condizlonata"
"Kellner/in";"Il/la camerlere/a"
"Koch/Kochin";"il/la cuoco/a <br> pl-chi/-che"
"Animateur/in";"l'animatore/-trice m/f"
"Physiotherapeut/in";"Il/la fisloteraplsta"
"Rezeptionist/in";"Il/la receptionist"
"Direktor/in";"IV/la direttore/-trice"
"buchen";"prenotare"
"Lust (auf)";"la voglia (di)"
"Golfplatz";"Il campo da golf"
"bestimmter Artikel";"b l'articolo determinativo"
"Kettenubung";"ll gloco a catena"
"Spiel";"il gloco <i> pl -chi </i>"
"Kette";"la catena"
"fur mich";"per me"
"drauBen";"Bd fuorl"
"drinnen";"dentro"
"es gibt";"c'e"
"kostenfrei, gratis";"gratulto/a"
"inbegriffen";"Incluso/a"
"kosten";"costare"
"ich habe";"ho <i> inf avere </i>"
"Buchung";"la prenotazlone"
"nachste/r/s";"prossimo/a"
"Woche";"la settimana"
"naturlich, sicherlich";"certamente"
"alle";"tutti tutte le"
"sie haben";"hanno <i> inf avere </i>"
"kostenpflichtig";"a pagamento"
"wie viel?";"quanto?"
"Euro";"l'euro"
"am Tag";"al glorno"
"Tag";"ilglorno"
"vielen Dank";"grazie mille"
"noch einmal anhoren";"rlascoltare"
"Sie haben";"avete <i> inf avere </i>"
"nah, in der Nahe";"vicino/a"
"er/sie /es hat";"ha <i> inf avere' </i>"
"wir spielen";"glochlamo <i> inf giocare </i>"
"haben";"avere""
"erraten";"Indovinare"
"es tut mir leid";"mi displace <i> inf <br> dispiacere </i>"
"Villa";"la villa"
"Gasthaus";"la locanda"
"Pension";"la pensione"
"an der Rezeption";"alla reception"
"Rezeption";"la reception"
"vervollstandigen";"completare"
"er/sie hat gebucht";"ha prenotato <i> inf <br> prenotare </i>"
"Nacht";"la notte"
"Doppelzimmer";"la camera doppla"
"Einzelzimmer";"la camera singola"
"Passwort";"la password"
"uberprufen";"verificare"
"von … bis …";"da...a..."
"Juni";"glugno m"
"Moment";"l'attimo"
"bitte";"per favore"
"hier ist es";"ecco"
"also";"allora"
"perfekt";"perfetto/a"
"entschuldigen Sie";"scusl <i> inf scusare </i>"
"wo ist?";"dov'e?"
"wo?";"dove?"
"rechts";"a destra"
"Nummer";"il numero"
"hier bitte, der Schlussel";"ecco la chlave"
"Schlussel";"la chiave"
"links";"a sinistra"
"Guten Aufenthalt!";"Buon sogglorno!"
"Aufenthalt";"Il soggiorno"
"unbestimmter Artikel";"l'articolo <br> Indeterminativo"
"Insel";"l'isola"
"privat, Privat-";"privato/a"
"noch";"ancora"
"Garten";"Il glardino"
"Kind";"il bambino"
"interessant";"interessante"
"Vespa";"la Vespa"
"Pizza";"la pizza"
"Lieblings-";"preferito/a"
"Arzt/Arztin";"Il medico"
"hier: noch mehr";"b ancora"
"Zimmernummer";"ll numero della camera"
"finden";"trovare"
"ein bisschen";"un po' (dl)"
"Entspannung";"Il relax"
"beim Yogakurs";"al corso dl yoga"
"Yoga";"lo yoga"
"hier: ich bin";"facclo inffare"
"machen, tun";"fare""
"auch";"anche"
"Lehrer/in";"l'insegnante m/f"
"Angestellte/r";"l'implegato/a"
"Bank";"la banca"
"anspruchsvoll";"esigente"
"gestresst";"stressato/a"
"hier: ich möchte";"vorrel <i> inf volere </i>"
"ausprobieren, versuchen";"provare"
"mich entspannen";"rllassarml <i> inf rilassarsi </i>"
"sich entspannen";"rilassarsl"
"Journalist/in";"Il/la glornalista"
"immer";"sempre"
"am Computer";"al computer"
"Computer";"il computer"
"Problem";"il problema"
"Rucken";"la schlena"
"Krankenhaus";"I'ospedale m"
"ich bin von Beruf Kran- <br> kenpflegerin";"facclo I'infermiera"
"Krankenpflegerin";"l'infermlere/am/f"
"ich arbeite";"lavoro <i> inf lavorare </i>"
"zu viel";"troppo awv"
"Was machst du beruflich?";"Che lavoro fal?"
"was?";"che?"
"du machst";"fal <i> inf fare </i>"
"Was machen Sie beruf- <br> lich?";"Che lavoro fa?"
"Sie machen (sg)";"fa <i> inf fare </i>"
"Rentner/in";"il/la pensionato/a"
"Sekretar/in";"ll/la segretario/a"
"Buro";"l'uffilclo"
"wir eroffnen";"a apriamo <i> inf aprire </i>"
"offnen, eroffnen";"aprire""
"Ort";"il luogo pl-ghi"
"Personal";"il personale"
"Preise, Kosten";"il costo plcosti"
"unser/e";"b nostro/a <i> pl nostri/e </i>"
"Landgut mit Bewirtungss- <br> betrieb und Zimmerver- <br> mietung";"INC I'agrityrismo"
"Zypresse";"il cipresso"
"Betreiber/in";"il gestore"
"Toskana";"la Toscana"
"in der Nahe von";"vicino/a a"
"verbinden";"combinare"
"Landwirtschaft";"l'agricoltura"
"Tourismus";"il turismo"
"umweltfreundlich";"sostenibile"
"Kuche";"la cucina"
"nur";"solo aw"
"Produkt";"il prodotto <i> pl prodotti </i>"
"regional";"reglonale <i> pl regionali </i>"
"der Saison";"di staglone"
"Saison";"la staglone"
"ihr könnt; Sie konnen";"potete <i> inf potere </i>"
"nehmen";"prendere""
"direkt";"direttamente"
"Frucht";"il frutto <i> pl frutti </i>"
"von";"da"
"Baum";"l'albero <i> pl alberi </i>"
"zubereiten";"preparare"
"Tee";"ll tè"
"Kuchenkrauter";"le erbe aromatiche pl"
"Pfefferminze";"la menta"
"Rosmarin";"il rosmarino"
"wir bieten an";"offriamo <i> inf offrire </i>"
"Naturkochkurs";"il corso di cucina <br> naturale"
"klein";"piccolo/a"
"Spielplatz";"il parco glochi"
"ausgezeichnet";"ottimo/a"
"Alternative";"l'alternativa"
"Komfort";"il comfort"
"gut";"buono/a"
"mitten in";"in mezzo a"
