#html:true
#deck:Fantastico! A1::DE -> IT::03 - Che profumo
"Was fur ein Duft!";"Che profumo!"
"Duft";"Il profumo"
"mein Liebling, mein <br> Schatz";"amore mlo"
"hier: Espresso";"Il caffe"
"Arabica-Kaffee";"l'arabica"
"mit weniger Wasser zube- <br> reiteter,starkerer Espresso";"Il caffe ristretto"
"mit mehr Wasser zuberei <br> teter, leichterer Espresso";"il caffe lungo"
"Espresso mit ein wenig <br> geschaumter Milch";"Il caffe macchiato"
"Milchkaffee,Caffe Latte";"Ilcaffellatte"
"Prosecco";"il prosecco"
"Durst";"la sete"
"Sandwich";"Iltramezzino"
"Milch";"il latte"
"Hunger";"la fame"
"Hörnchen";"il cornetto"
"Brotchen";"il panino"
"Wasser";"l'acqua"
"bitte";"prego"
"frisch gepresster Oran- <br> gensaft";"la spremuta d'aranda"
"frisch gepresster Saft";"la spremuta"
"Orange";"l'aranda"
"trinken";"bere"
"essen";"manglare"
"Tresen";"il banco"
"Getranke-und Speisekar- <br> te";"il llstino"
"alt, antik";"antico/a pl-chi/-che"
"Turin";"Torino"
"hier: HeiBgetranke";"la caffetterla"
"Spezialitat";"la speclalita"
"Turiner HeiBgetrank aus <br> Espresso, Kakao und <br> Milchcreme";"il bicerin"
"mit heiBem Wasser ver <br> dunnter Espresso";"Il caffe americano"
"koffeinfrei";"decaffelnato/a"
"heiBe Schokolade";"la coccolata calda"
"Krautertee";"la tisana"
"Erfrischungsgetrank";"la biblta"
"Mineralwasser";"I'acqua minerale"
"Bier";"la birra"
"Fruchtsaft";"il succo di frutta"
"Eistee";"ll te freddo"
"Likor";"it liquore"
"Aperitif";"l'aperitivo"
"WeiB-,weiB";"blanco/a pl-chi-che"
"Rot-, rot";"rosso/a"
"Sekt";"lo spumante"
"Grappa";"la grappa"
"Magenbitter";"I'amaro"
"Zitronenlikor aus Kampa- <br> nien";"itlimoncello"
"alkoholisch";"alcolico/a <i> pl -ci/-che </i>"
"alkoholfrei";"analcolico/apl-ci/-che"
"Spritz";"lo spritz"
"StOckKuchen";"la fetta di torta"
"kleine Pizza";"la pizzetta"
"Toast";"il toast"
"was ist.?";"che cos'e...?"
"was?";"che cosa?"
"sie nehmen";"prendono <i> inf prendere' </i>"
"Sie sind an der Reihe!";"Ell vostro turno!"
"Was macht das?";"Quant'e?"
"heute";"oggl"
"ich zahle";"offro <i> inf offrire </i>"
"hier: zahlen, Obernehmen";"offrire""
"hier: still";"naturale"
"Milchcreme";"la crema dl latte"
"ich bevorzuge";"preferisco <i> inf preferire </i>"
"bevorzugen, lieber mogen";"preferire (-isc-)"
"ohne";"senza"
"hier bitte (fur Sie)";"ecco a Lel"
"Kassenbon";"lo scontrino"
"Ausdruck";"l'espresslone f"
"nOtzlich";"utile"
"Mittagessen";"il pranzo"
"schnell";"veloce"
"Salat";"l'insalata"
"noch einmal";"ancora una volta"
"etwas";"qualcosa"
"etwas zu essen";"qualcosa da manglare"
"gerne";"volentierl"
"bestellen";"ordinare"
"Horen Sie!";"Senta!"
"Olive";"l'oliva"
"Mais";"il mals"
"Mozzarella";"la mozzarella"
"Thunfisch";"ill tonno"
"Tomate";"ill pomodoro"
"Zwiebel";"la cipolla"
"in Ordnung, gut";"va bene"
"etwas zu trinken";"qualcosa da bere"
"mit Kohlensaure";"gassato/a"
"hier: ich hatte gern";"vorrel <i> inf volere </i>"
"Sie mochten lieber";"preferisce <i> inf preferire </i>"
"zurUckkommen";"tornare"
"gleich, sofort";"subito"
"mit Zitrone";"al limone"
"Zitrone";"Il lmone"
"Zucker";"lo zucchero"
"dunnes, gefullt serviertes <br> Fladenbrot";"la pladina"
"richtig ein-/zuordnen";"mettere al posto glusto"
"Fur wen?";"Per chl?"
"Espressokanne";"la caffettlera"
"wie";"come"
"benutzen";"usare"
"stellen, tun";"mettere"
"auf das Feuer, auf den <br> Herd";"sul fuoco"
"Feuer";"Il fuoco"
"auf";"su"
"schlieBen";"chiudere""
"gieBen";"versare"
"Espressotasse";"la tazzina"
"genieBen";"gustare"
"Pulver";"la polvere"
"Filter";"il filtro"
"mischen, umrühren";"mescolare"
"Teeloffel";"Il cucchiaino"
"Wie ist/lautet …?";"Qual e...?"
"dein/e";"tuo/a"
"hier: zufallig";"a sorpresa"
"Oberraschung";"la sorpresa"
"Telefonnummer";"ll numero di telefono"
"Telefon";"il telefono"
"Ihr/e";"Suo/a"
"Handy";"Il cellulare"
"mein/e";"mlo/a"
"Mitschulerin; hier: <br> Kursteilnehmende()";"compagno/a"
"zu guter Letzt";"e per finire"
"beenden; enden";"finire (-isc-)"
"Ape-Bar, mobile Espresso <br> Bar";"INC l'ape-bar m"
"jede/r/s";"ognl"
"jeden Tag";"ognl giorno"
"Platz, Ort";"Il posto"
"andere/r/s";"diverso/a"
"lieben";"amare"
"zum Fruhstuck";"a colazione"
"zum Mittagessen";"a pranzo"
"vor (zeitlich)";"prima di"
"Abendessen";"la cena"
"Kollege/Kollegin";"il/lacollega <br> pl-ghi/-ghe"
"Cocktailbar";"ilcocktall bar"
"Bar mit Schokoladenspezi- <br> alitaten";"il bar cloccolatera"
"Bar und Konditorei";"Il bar pasticerla"
"Bar und Eisdiele";"il bar gelaterla"
"jetzt";"ora aw"
"genial";"genlale"
"traditionell";"tradizionale"
"naturlich";"naturalmente"
"Qualitats-";"di qualita"
"Was passt nicht dazu?";"Trova l'Intruso."
"Eindringling";"l'intruso/a"
"annehmen";"accettare"
"ablehnen";"rifiutare"
"So viele";"Quanti...!"
"Wie sagt man .…. auf Itali-";"Come si dice in"
"enisch?";"Italiano...?"
