#html:true
#deck:Fantastico! A1::DE -> IT::04 - Nomi cosi citta
"Ding, Sache";"lacosa"
"Hauptstadt der Region";"ill capoluogo pl-ghi"
"Ligurien";"la Ligurla"
"Gasse";"Il vicolo"
"eng";"stretto/a"
"Gebaude";"il palazzo"
"historisch";"storico/a pl-ci/-che"
"Hafen";"il porto"
"wichtig";"Importante"
"sizilianisch";"siciliano/a"
"am FuBe des Atna";"al pledi dell'Etna"
"FuB";"il plede"
"Atna";"I'Etnam"
"Markt";"il mercato"
"Fisch";"ill pesce"
"an der Grenze Zu";"al confine con"
"Grenze";"il confine"
"man spricht";"si parla"
"grof";"grande"
"die drittgroBte Stadt";"la terza città plu grande"
"dritte/r/s";"terzo/a"
"groBte/r/s";"più grande"
"vor (örtlich)";"davanti a"
"Golf";"il golfo"
"elegant";"elegante"
"Kathedrale";"la cattedrale"
"Denkmal, Monument";"il monumento"
"Kirche";"la chlesa"
"Stadtteil,Viertel";"il quartlere"
"Altstadt";"Il centro storico"
"Zentrum";"Ilcentro"
"Bahnhof";"la stazione"
"Geschaft";"il negozio"
"sehenswert, zu besicht- <br> gen";"da visitare"
"Genuese/Genuesin";"genovese"
"Werbung";"la pubblicita"
"Rundfahrt";"ill giro turistico"
"Runde,Tour";"Ilgiro"
"touristisch";"turistico/a pl-ci/-che"
"mit dem Bus";"in autobus"
"Bus";"l'autobus m"
"Besichtigung mit Fuhrung";"la vislta guldata"
"zu FuB";"a pledi"
"Dogenpalast";"Il Palazzo Ducale"
"(Genueser) Aquarium";"I'Acquarlo"
"Biosphare (botanischer <br> Garten,untergebracht in <br> einer Glaskugel aber dem <br> Meer)";"la Blosfera"
"Haupt-, bedeutendste/r";"principale"
"(Spring)Brunnen";"la fontana"
"im Zentrum, in der Mitte";"al centro"
"besondere/r/s";"particolare"
"Museum";"il museo"
"Aber das ist nicht alles!";"Ma non solo!"
"nicht nur";"non solo"
"es gibt";"ci sono"
"typisch,ortsublich";"tipico/a pl-ci/-che"
"Laden";"la bottega pl-ghe"
"Haus";"la casa"
"Stadtfuhrer/in";"la guida"
"professionell";"professlonale"
"Person";"la persona"
"der/die/das";"che"
"Idee, Vorstellung";"I'ldea"
"zweistundige/r";"di due ore"
"Stunde";"l'ora"
"Gruppe";"Il gruppo"
"Worauf wartet ihr/warten <br> Sie?";"Cosa aspettate?"
"warten";"aspettare"
"starten, beginnen";"partire"
"jeden Tag";"tutti I glorni"
"hier: jede/r/s";"tuttl tutte le"
"um ...(Uhr)";"alle..."
"unterwegs in";"In giro per"
"Tourismusburo";"I'ufficlo del turismo"
"organiseren";"organizzare"
"dauern";"durare"
"der Preis betragt ..";"Il costo e di.."
"Fantasie-,ausgedacht";"di fantasla"
"wie ist?";"com'e?"
"modern";"moderno/a"
"Uhrzeit";"l'orario"
"von ...bis ….(Uhr)";"dalle... alle.."
"Alphabet";"l'alfabeto"
"Akzent";"l'accento"
"Punkt";"Il puntino"
"Wie schreibt man das?";"Come si scrive?"
"hier in der Nahe";"qul vicino"
"Apotheke";"la farmacia"
"Post";"la posta"
"Arztpraxis";"lo studio medico"
"Theater";"il teatro"
"Zeitungskiosk";"I'edicola"
"noch einmal";"un'altra volta"
"rechts von";"a destra di"
"links von";"a sinistra di"
"neben";"accanto a"
"gegenuber von";"di fronte a"
"zwischen";"tra"
"richtig";"vero/a"
"falsch";"falso/a"
"jetzt";"adesso"
"nach";"dopo"
"welche/r/s?";"quale?"
"Verkehrsmittel";"Il mezzo di trasporto"
"was fur ein/e schone/r/s";"che bello/a"
"schǒn";"bello/a"
"hier: ich wurde gern";"vorrel <i> inf volere </i>"
"weit weg weit entfernt";"lontano/a"
"schau, sieh mal";"guarda <i> inf guardare </i>"
"dort";"Ii"
"ich weiB nicht";"non so <i> inf sapere </i>"
"offentliche Verkehrsmittel";"Imezzi pl"
"Metro";"la metropolitana"
"Minute";"il minuto"
"fur gewohnlich";"di sollto"
"mude";"stanco/a <i> pl -chi/-che </i>"
"entschuldige";"scusa <i> inf scusare </i>"
"Auto";"la macchina"
"Zug";"Il treno"
"StraBenbahn";"il tram"
"Fahrrad";"la bicicletta"
"Motorrad";"la moto"
"E-Roller";"il monopattino"
"Flugzeug";"l'aereo"
"Flughafen";"I'aeroporto"
"hier: zur Arbeit";"al lavoro"
"fragen (nach), bitten um";"a chledere"
"Information";"l'informazlone f"
"der Zug nach";"il treno per"
"Eintritt";"l'ingresso"
"Um wie viel Uhr?";"A che ora?"
"kaufen";"comprare"
"hier: Ticket";"il biglietto"
"wann?";"quando?"
"hier: abfahren, losfahren";"partire"
"ortlich, lokal";"locale"
"Offnungszeiten";"d l'orarlo dl apertura"
"Wandern";"INC Il trekking"
"Stadt-";"urbano/a"
"Warum es nicht tun?";"Perche non farlo?"
"Tour";"ll tour"
"erkunden";"esplorare"
"weniger";"meno"
"Kunststadt";"la citta d'arte"
"wahrend";"durante"
"";"cosi"
"hier: hautnah erleben";"entrare in contatto con"
"Kontakt";"Il contatto"
"Aspekt";"l'aspetto"
"authentisch";"autentico/a pl-ci-che"
"Leben";"la vita"
"Motto";"lo slogan"
"weiter";"plù lontano"
"Turnschuhe";"le scarpe <i> pl da <br> ginnastica </i>"
"Neugier";"la curiosita"
"gehen, laufen";"camminare"
"Oktober";"ottobre m"
"Tag";"la glornata"
"national";"nazionale"
"neu";"nuovo/a"
"Art, Weise";"il modo"
"Art";"Il tipo"
"Form";"la forma"
"hier: sanft";"dolce"
"Initiative";"l'inizlativa"
"guttun";"far bene"
"Korper";"Il corpo"
"Geist";"la mente"
"Planet";"Il planeta"
"Venedig";"Venezla"
"Markusplatz";"Plazza San Marco"
"hier: Café";"ll caffe"
"archeologisch";"archeologico/a <br> pl-ci/-che"
"Uffizien";"gll Ufflzi pl"
"Kolosseum";"Il Colosseo"
"Trevi-Brunnen";"Ia Fontana di Treyl"
"Turm";"la torre"
"Normannenpalast";"Il Palazzo del Normannl"
"Cappella Palatina (Palast- <br> kapelle)";"la Cappella Palatina"
"zum UNESCO-Welterbe";"essere patrimonlo"
"zahlen";"UNESCO"
"sizilianisches Nudelgericht <br> mit Sardinenfilets, Pinien- <br> kernen, Rosinen, wildem <br> Fenchel";"la pasta con le sarde"
"sizilignische Schichtorte <br> aus Ricotta und Pan di <br> Spagna (Biskuitart)";"la cassata siciliana"
"circa";"clrca"
"Vorverkaufsschalter";"la biglletteria"
"Sprache";"la lingua"
"weil";"perche"
"chatten";"chattare"
"Apulien";"la Puglla"
"Umbrien";"I'Umbria"
