#html:true
#deck:Fantastico! A1::DE -> IT::05 - Rivediamo 1
"Haselnuss";"la nocdola"
"Focaccia,Fladenbrot";"la focacca pl-ce"
"allein";"da solo/a"
"die Hauptrolle spielen";"essere il/la <br> protagonista"
"suditalienisches Blatter- <br> teiggeback";"la sfogliatella"
"sizilianisches gefulltes <br> Teigrollchen";"il cannolo"
"romisches gefulltes Milch- <br> brotchen";"ilmaritozzo"
"einfach";"semplice"
"auf jeden Fall";"in ogni caso"
"Symbol";"il simbolo"
"italienisch";"all'itallana"
"Barmann/-frau";"ll/la barista"
"Radio";"la radlo"
"hineingehen";"entrare"
"Koffer";"la vallgla"
"nervos";"nervoso/a"
"schnell";"velocemente"
"aus Fehlern lernt man";"chi sbaglla impara"
"einen Fehler machen";"sbagliare"
