#html:true
#deck:Fantastico! A1::DE -> IT::06 - Dove fai la spessa
"einkaufen";"fare la spesa"
"Einkauf";"la spesa"
"Angebot";"I'offerta"
"Obst";"la frutta"
"Gemuse";"la verdura"
"Pasta, Nudeln";"la pasta"
"Reis";"il riso"
"Getreide";"I cereali pl"
"tierisches EiweiB";"la proteina animale"
"Getrank";"la bevanda"
"Packung";"il pacco"
"eine Packung";"un pacco di.…."
"Aubergine";"la melanzana"
"Kilo";"il chilo"
"pro Kilo, das Kilo";"al chilo"
"gekochter Schinken";"il prosciutto cotto"
"pro hundert Gramm";"all'etto"
"hundert Gramm";"l'etto"
"Joghurt";"lo yogurt"
"Becher";"il vasetto"
"Apfel";"la mela"
"Olivenol";"l'ollo d'oliva"
"Flasche";"la bottiglia"
"Kartoffel";"la patata"
"Scampi";"gli scampl pl"
"Birne";"la pera"
"Erdbeere";"la fragola"
"hier: Schalchen";"il cestino"
"Liter";"Il litro"
"hinzufugen";"agglungere""
"hier: Warenkorb";"il carrello"
"Mehl";"la farina"
"SOBigkeit; Kuchen; Nach- <br> tisch";"Il dolce"
"Zucchini";"le zucchine pl"
"Obst-und Gemusehand- <br> ler/in";"Il/la fruttivendolo/a"
"Metzgerei";"la macellerla"
"Kase";"Il formagglo"
"Basilikum";"Il basilico"
"Backerei";"la panetterla"
"Stuck";"Il pezzo"
"Lebensmittel";"l'alimento"
"Kunde/Kundin";"il/la diente"
"ein Kilo ….";"un chilo di..."
"Torte";"la torta"
"wunschen";"desiderare"
"dann";"pol"
"aus der Gegend sein";"essere della zona"
"Gegend, Gebiet";"la zona"
"Mochten Sie noch etwas?";"Desldera altro?"
"Moment";"Ilmomento"
"gebratene Kalbsschnitzel <br> mit Schinken und Salbei";"I saltimbocca pl"
"als Nachtisch";"come dolce"
"wir machen";"facdamo <i> inf fare </i>"
"in der Zwischenzeit";"intanto"
"Pecorino (Sammelbegriff <br> fur verschiedene Schaf <br> milchkasesorten)";"il pecorino"
"Parmesankase";"il parmiglano"
"Okay?";"Va bene?"
"entschuldigen Sie (mich) <br> bitte";"mi scusl"
"Ui. die sind aber teuer!";"Uh ma che care!"
"teuer";"caro/a"
"ansonsten";"altrimenti"
"Ist das alles?";"Basta cosi?"
"Cent";"I centesimo"
"Rest(geld)";"ll resto"
"Wo bist du denn?";"Ma dove sel?"
"zu teuer";"troppo caro/a"
"Handler/in";"il/la commerciante"
"ein halbes Kilo";"mezzo chilo di..."
"halbe/r/s";"mezzo/a"
"(Ver)Packung";"la confezlone"
"Menge";"la quantita"
"Marmelade";"la marmellata"
"Pesto";"il pesto"
"Keks";"ibiscotto"
"Brot";"ll pane"
"Karotte";"la carota"
"Fleisch";"la carne"
"Oberraschungs-";"a sorpresa"
"Pinienkern";"Il pinolo"
"Brokkoli";"I broccoll pl"
"Knoblauch";"l'agllo"
"Vollkorn-";"Integrale"
"hier: Gericht";"ll platto"
"vegetarisch";"vegetarlano/a"
"vegan";"vegano/a"
