#html:true
#deck:Fantastico! A1::DE -> IT::07 - Ti piace
"Gefallt es dir?";"Ti place?"
"jdm gefallen";"placere' a qualcuno"
"Event, Veranstaltung";"I'evento"
"Wochenende";"il weekend"
"August";"agosto"
"Ausstellung";"la mostra"
"Kunstausstellung";"la mostra d'arte"
"Nationalgalerie fur moder-";"la Gallerla Nazlonale"
"ne Kunst in Rom";"d'Arte moderna"
"Vorstellung";"lo spettacolo"
"Ballett";"la danza dlassica"
"Schwanensee";"il lago del cignl"
"Circus Maximus";"il Circo Massimo"
"Freiluftkino";"il cinema all'aperto"
"Verkostung";"la degustazlone"
"WeinhandlungWeinlokal";"l'enoteca"
"Konzert";"il concerto"
"Popmusik";"la musica pop"
"Operntheater";"il teatro dell'opera"
"Oper";"l'opera Urica"
"Therme";"leterme pl"
"Tumier";"Il torneo"
"Tennis spielen";"glocare a tennis"
"Tennis";"il tennis"
"FuBball spielen";"glocare a calco"
"FuBball";"Icaldo"
"Olympiastadion";"lo stadio olimpico"
"Theaterkomodie";"la commedia teatrale"
"kurz";"corto/a"
"Saal";"la sala"
"Fitnessstudio";"la palestra"
"spielen (Instrument)";"suonare"
"Instrument";"lo strumento"
"lesen";"leggere"
"Ski fahren";"sclare"
"schwimmen";"nuotare"
"anschauen";"guardare"
"Ballett";"il balletto"
"kochen";"cucinare"
"hören";"ascoltare"
"im Radio";"alla radio"
"Freizeit";"il tempo libero"
"frei";"libero/a"
"Wochenende";"Il fine settimana"
"Gehst du germe";"Tl place andare.."
"Fahrrad fahren";"andare In bid"
"joggen gehen";"andare a correre"
"fernsehen";"guardare la televislone"
"im Garten arbeiten";"lavorare in glardino"
"ausgehen";"uscire""
"besuchen, gehen zu";"andare a vedere"
"wenig";"poco aw"
"viel";"molto gyy"
"vor allem";"soprattutto"
"im Streaming";"in streaming"
"manchmal";"ognl tanto"
"Sportereignis";"I'evento sportivo"
"selten";"raramente"
"fast nie";"non... quasi mal"
"klassisch";"classico/a pl-ci/-che"
"Gymnastik";"la ginnastica"
"wandern";"fare camminate"
"in den Bergen";"in montagna"
"mit dem Fahrrad";"in bicicetta"
"andere";"altrl/e pl"
"faul";"pigro/a"
"circa";"circa"
"nie";"non... mal"
"Karten spielen";"glocare a carte"
"nichts";"non...nlente"
"wirklich sehr";"moltissimo"
"hier: Leute";"ragazzi,"
"junger Mann/junge Frau";"il/la ragazzo/a"
"heute Abend";"stasera"
"Warum nicht?";"Perché no?"
"Disco";"la discoteca"
"mir gefallt, ich mag";"mi place"
"Oberhaupt nicht";"non... per niente"
"tanzen";"ballare"
"Festival";"il festival"
"Jazzmusik";"la musica lazz"
"Komm!";"Dal!"
"mir gefallen, ich mag";"mi placclono"
"ein paar Schritte, ein klei- <br> ner Spaziergang";"due passi"
"Schritt";"Il passo"
"Buch";"It libro"
"wirklich sehr";"tantissimo"
"Tulpe";"il tulipano"
"alt";"vecchlo/a"
"Wie langweilig!";"Che nola!"
"hier: auBerdem";"pol"
"noch ein/e …";"un'altro/a..."
"Gitarre";"la chitarra"
"singen";"cantare"
"Leute";"la gente"
"bleiben";"restare"
"zu Hause";"a casa"
"Fernsehserie";"la serle TV"
"endlich";"finalmente"
"Ihnen (sg)";"Le"
"Foto";"la foto"
"gegen; hier: dagegen";"contro"
"Foto(grafie)";"fotografico/a pl-ci-che"
"Golf";"il golf"
"Tanz";"la danza"
"Einladung";"l'invito"
"vorschlagen";"proporre""
"Hallo? (am Telefon)";"Pronto?"
"Hör mal!";"Sentl!"
"morgen";"domani"
"Abend";"la sera"
"Wo treffen wir uns?";"Dove d yediamo?"
"sich treffen";"vedersl"
"wirklich";"proprlo"
"einladen";"Invitare"
"besser; hier: lieber";"megllo"
"Hast du Lust zu .…?";"Tl va di...?"
"Nachmittag";"Il pomerigglo"
"wir gehen hin";"cl andiamo <i> inf andarci </i>"
"Schade!";"Peccato!"
"Habt ihr Lust zu ….?";"Vi va di...?"
"am Samstagabend";"sabato sera"
"schon etwas vorhaben";"avere gla un impegno"
"schon";"glà"
"Verabredung, Verpflich- <br> tung";"l'impegno"
"einverstanden";"d'accordo"
"zusammen";"insieme"
"am nachsten Freitag";"venerdi prossimo"
"Mime";"il mimo"
"hier: sich verabreden";"prendere un <br> appuntamento"
"hier: Verabredung";"l'appuntamento"
"hier: zu";"da"
"Zahnarzt/-arztin";"Il/la dentista"
"Friseur/in";"Il/la parrucchlere/a"
"joggen";"fare jogging"
"hier: Termin";"l'appuntamento"
"mir auch";"anche a me"
"mir schon";"a me si"
"in aller Ruhe";"con calma"
"ich auch";"anch'lo"
"ich auch nicht";"neanch'lo"
"mir auch nicht";"neanche a me"
"mir nicht";"a me no"
"ich schon";"lo si"
"ich nicht";"lo no"
"Hip-Hop";"la musica hip hop"
"Motorrad fahren";"andare in moto"
"hier: nicht so sehr";"non tanto"
"Programm";"il programma"
"Stadtzentrum";"Il centro citta"
"Stadtwanderung";"Il trekking urbano"
"Sopran";"INC il soprano"
"Wie aufregend!";"Che emozione!"
"Gefuhl, Emotion";"l'emozione f"
"Muse";"la musa Ispiratrice"
"hier: als";"da"
"manchmal";"a volte"
"hart";"duro/a"
"sehen";"vedere""
"meine Freunde";"I miel amicl"
"auf Reisen sein";"essere in vlagglo"
"Reise";"il vlagglo"
"Mailander Scala";"la Scala di Milano"
"Theater San Carlo in <br> Neapel";"Il San Carlo di Napoli"
"es ist zu warm/kalt";"fa troppo caldo/freddo"
"anregen";"stimolare"
"Appetit";"l'appetito"
"bleiben";"rimanere"
"(er)warten";"aspettare"
"Arena von Verona";"I'Arena di Verona"
