#html:true
#deck:Fantastico! A1::DE -> IT::08 - E stato fantastico
"ist gewesen";"e stato/a"
"Geschenk";"ill regalo"
"Mutter";"la madre"
"Bruder";"Il fratello"
"GlockwOnsche";"gli auguri pl"
"Cousin/Cousine";"Il/la cugino/a"
"(Ehe)Mann";"il marito"
"Sohn/Tochter";"ll/la figllo/a"
"Vater";"Il padre"
"(Ehe)Frau";"la moglle"
"Schwester";"la sorella"
"Neffe/Nichte; Enkel/in";"Il/la nipote"
"Geburtstag";"il compleanno"
"Eltern";"I genitorl pl"
"Ausflug";"la glta"
"feiern";"festegglare"
"essen gehen";"andare a manglare"
"fertig, bereit";"pronto/a"
"sein/e: jhr/e";"suo/a"
"ferngesteuert";"telecomandato/a"
"ankommen";"arrivare"
"Fotobuch";"Il fotolibro"
"Tasche";"la borsa"
"er/sie hat gelassen";"ha lasclato"
"lassen";"lasclare"
"Onkel/Tante";"lo/la zlo/a"
"geboren werden";"ascere"
"am . September";"il  settembre"
"als Kind";"da bambino/a"
"Klavier";"Il planoforte"
"Operngesang";"il canto lirico"
"beginnen";"Iniziare"
"Lokal mit Live-Klaviermu- <br> sik";"il plano-bar"
"hier: ihn";"lo"
"nennen";"chlamare"
"Tenor";"Il tenore"
"Zeitraum";"il perlodo"
"treffen";"Incontrare"
"(im Jahr)";"nel"
"ihr/e(pl)";"loro"
"Jahr";"l'anno"
"hier: spater";"dopo"
"wahrend";"mentre"
"immer mehr";"sempre plu"
"Erfolg";"il successo"
"auf der ganzen Welt";"in tutto il mondo"
"Welt";"Ilmondo"
"Kinder";"Ifigll pl"
"wachsen";"crescere"
"auch wenn";"anche se"
"Ingenieur/in";"l'ingegnere m/f"
"beruflich";"come lavoro"
"Scheidung";"il divorzio"
"hier: kennenlernen";"conoscere"
"einzige/r/s";"unico/a pl-c/-che"
"zusammen mit";"Insleme a"
"Architekt/in";"l'architetto/a"
"gemeinsam";"in comune"
"herstellen, produzieren";"produrre""
"fuhren";"gestire (-isc-)"
"tatsachlich, in der Tat";"infattl"
"Betrieb";"l'azienda"
"Landwirtschafts";"agricolo/a"
"Medizin";"la medicina"
"Cocktail";"il cocktall"
"grillen";"fare una grigllata"
"filmen";"filmare"
"Gast";"l'invitato/a"
"Tischtennis";"il ping-pong"
"gestern";"lerl"
"vor drei Tagen";"tre glornl fa"
"vor ..(zeitlich)";"...fa"
"letzte Woche";"la settimana scorsa"
"letzte/n/s..(zeitlich)";"...scorso/a"
"Schweiz";"la Svizzera"
"Partner/in";"il/la compagno/a"
"sympathisch";"simpatico/a pl-ci/-che"
"alle";"tuttl"
"zuerst";"prima"
"Karaoke";"il karaoke"
"am Schluss, am Ende";"alla fine"
"Ende, Schluss";"la fine"
"spater";"plù tardi"
"spat";"tardi"
"Feuerschlucker/in";"Il/la manglafuoco"
"plötzlich";"all'improvviso"
"Tischdecke";"la tovaglia"
"Feuer fangen";"prendere fuoco"
"zum Glock";"per fortuna"
"Gluck";"la fortuna"
"holen";"andare a prendere"
"Feuerloscher";"l'estintore m"
"gut ausgehen";"finire bene"
"bekommen, erhalten";"ricevere"
"Umarmung";"l'abbracclo pl-c"
"Erzahlung";"ll racconto"
"VIP";"IU/la VIP"
"Motto";"il motto"
"hier: anrufen";"chiamare"
"Fotograf/in";"Il/la fotografo/a"
"entscheiden";"decidere"
"Menu";"Il menu"
"Catering";"Il catering"
"Alles Gute zum Geburts- <br> tag!";"Buon compleanno!"
"Januar";"gennalo m"
"Februar";"febbraiom"
"Marz";"marzom"
"April";"aprilem"
"Mai";"magglo m"
"Juli";"lugllom"
"September";"settembre m"
"November";"novembrem"
"Dezember";"dicembre m"
"zum Abendessen";"a cena"
"Mitschuler/in";"INC Il/la compagno/a di <br> scuola"
"mit Lerneffekt";"In modo educativo"
"erzieherisch, Bildungs-";"educativo/a"
"anders als sonst";"diverso/a dal solito"
"Lombardei";"la Lombardla"
"Natur-und Landschafts";"la gulda ambientale"
"Fuhrer/in";"escursionistica"
"Umwelt-";"amblentale"
"Wander-";"escursionistico/a <br> pl-ci/-che"
"Blogger/in";"il/la blogger"
"Oase; hier: Naturschutge- <br> biet";"l'oasl f"
"Wald";"il bosco"
"Moglichkeit";"la possibilita"
"Schatzsuche";"la cacda al tesoro"
"kreativ";"creativo/a"
"Beobachtung";"l'osservazlone f"
"Vogel";"l'uccello"
"Plastik";"la plastica"
"Essen, Nahrung";"Il cibo"
"Bio-";"blo"
"Fastfood(restaurant)";"il fast food"
"wirklich";"davvero"
"besondere/r/s";"spedale"
"in Kontakt mit";"a contatto con"
"Exkursion, Ausflug";"l'escursione f"
"Tessin";"Il Tidno"
"Naturschutzgebiet";"I'area naturalistica"
"lombardisch";"lombardo/a"
"mǒglich";"possibile"
"beobachten";"osservare"
"geheim";"segreto/a"
"lernen";"Imparare"
"Posssessivbegleiter";"i possessivl pl"
"Agyptisches Museum";"l Museo Egizio"
"lieben";"adorare"
"Taxi";"il taxi"
"schenken";"regalare"
"shoppen gehen";"fare shopping"
"Tango";"ll tango"
"Mittelmeer";"Il Mediterraneo"
"sich erinnern an";"a ricordare"
"Buchstabe";"a la lettera"
"wiederholen";"b ripetere"
