#html:true
#deck:Fantastico! A1::DE -> IT::09 - Aria di vacanza
"Sport-, sportlich";"sportivo/a"
"Kultur-, kulturell";"culturale"
"Entspannungs-";"relax"
"Kalabrien";"Ia Calabria"
"Schloss";"Ilcastello"
"Aostatal";"la Valle d'Aosta"
"es ist schones Wetter";"fa bel tempo"
"hier:Wetter";"il tempo"
"reisen";"vlagglare"
"es regnet";"plove <i> inf piovere </i>"
"sich amusieren, SpaB <br> haben";"divertirsi"
"sich ausruhen";"riposarsl"
"Jugendherberge";"l'ostello"
"ausleihen; vereihen";"nolegglare"
"Camping, Campen";"il campegglo"
"Land";"la campagna"
"es ist heiB";"fa caldo"
"es ist kalt";"fa freddo"
"baden";"fare il bagno"
"Plan";"il progetto"
"Welche Art von …?";"Che tipo di...?"
"Vorschlag";"la proposta"
"(aus)wahlen";"scegliere""
"ankreuzen,markieren";"segnare"
"erwahnt";"menzionato/a"
"hier: sich aufhalten";"stare"
"verbringen";"passare"
"hier: Zeit";"il tempo"
"hier: erleben";"vivere""
"Abenteuer";"I'avventura"
"sich sonnen";"prendere il sole"
"Gewohnheit";"l'abltudine f"
"ins Ausland";"all'estero"
"Ausland";"l'estero"
"hier: anderes";"altro"
"Wohnmobil";"il camper"
"Bed and Breakfast";"Il bed & breakfast"
"Mietwohnung,hier: <br> Ferienwohnung";"la casa in affitto"
"Norwegen";"la Norvegla"
"Dolomiten";"le Dolomiti"
"Alpen";"le Alpl"
"Marken";"le Marche"
"Latium";"Il Lazio"
"Venetien";"Il Veneto"
"Comer See";"Il lago di Como"
"Vesuv";"il Vesuvlo"
"gewonnene Reise";"il vlagglo premlo"
"Frankreich";"la Francla"
"Sardinien";"la Sardegna"
"Genfer See";"Il lago di Ginevra"
"Mont Blanc";"Il Monte Bianco"
"Zurich";"Zurlgo"
"Pyrenaen";"I Pirenel"
"Sizilien";"la Sicllia"
"Danemark";"la Danimarca"
"Piemont";"Il Piemonte"
"Hast du jemals …?";"Hal mal...?"
"Bist du jemals …?";"Sel mal...?"
"organisiert";"organizzato/a"
"Funfsterne-";"a cinque stelle"
"mit wem?";"con chi?"
"hier: Jahreszeit";"la staglone"
"folgende/r/s";"seguente"
"eigene/r/s";"proprlo/a"
"Picknick";"Il picnic"
"snowboarden";"fare snowboard"
"Fruhling";"la primavera"
"Sommer";"l'estatef"
"Herbst";"l'autunno"
"Winter";"l'inverno"
"Kommentar";"l commento"
"die Sonne scheint";"c'e ll sole"
"es ist nebelig";"c'e nebbla"
"Nebel";"la nebbla"
"es schneit";"nevica <i> inf nevicare </i>"
"Triest";"Trleste"
"es ist windig";"c'e vento"
"Wind";"Il vento"
"bewǒlkt";"nuvoloso/a"
"hier: schlecht";"brutto/a"
"Wie ist das Wetter?";"Che tempo fa?"
"Dublin";"Dublino"
"Moskau";"Mosca"
"es hat ... Grad";"ci sono...gradi"
"hier: Eingang";"'ingresso"
"Himmel";"Ilclelo"
"man";"a si"
"Tourist/in";"Il/la turista"
"Elektro-";"elettrico/a pl-ci/-che"
"Kilometer";"Il chilometro"
"Wie lange dauert …?";"Quanto dura...?"
"hindurchgehen durch, <br> durchqueren";"attraversare"
"Tabelle";"b la tabella"
"Verleih";"il nolegglo"
"Strecke, Route";"il percorso"
"letzte/r/s";"ultimo/a"
"Mail";"la mall"
"anrufen";"telefonare a"
"Sonnenbrille";"gli occhiall <i> pl da sole </i>"
"Kanu";"la canoa"
"Dauer";"la durata"
"Etappe";"la tappa"
"kleiner See";"il laghetto"
"Obernachtung";"il pernottamento"
"Hölle";"a l'inferno"
"Post";"ill post"
"denken";"pensare"
"sich befinden, sein";"trovarsi"
"Hilfe!";"Aluto!"
"hassen";"odlare"
"Anstrengung";"la fatica"
"aufwachen";"svegllarsl"
"fruh";"presto"
"aufstehen";"alzarsl"
"sich waschen";"lavarsi"
"Gemeinschaftsbad";"il bagno in comune"
"sich anziehen";"vestirsl"
"eilig";"Iin fretta"
"in die Pedale treten";"pedalare"
"einschlafen";"addormentarsi"
"Anmerkung";"la nota"
"positiv";"positivo/a"
"Dorffest";"la festa di paese"
"jedes Mal";"ognl volta"
"jedenfalls";"comunque"
"reflexives Verb";"b il verbo riflessivo"
"kalt";"freddo/a"
"Rockmusik";"la musica rock"
"Tasse";"la tazza"
"Umfrage";"ll sondagglo"
"Mitternacht";"la mezzanotte"
"sich konzentrieren";"concentrarsi"
"Zahn";"il dente <br> a l'incidente m di percorso Zwischenfall"
"unten; unter";"b sotto"
"Ja bitte?, Sie wunschen?";"Mi dica! <i> inf dire </i>"
"Handtuch";"l'asciugamano"
"Dusche";"la docda pl-ce"
"kaputt";"rotto/a"
"wollen";"volere""
"hier: wechseln";"cambiare"
"Zimmer";"la stanza"
"heute Morgen";"stamattina"
"hier: mieten";"nolegglare"
"sich erinnern";"ricordarsl"
"funktionieren";"funzionare"
"beheben, losen";"risolvere""
"geben";"dare""
"freundlich";"gentile"
"Fehler";"I'errore m"
"kein Problem";"non c'e problema"
"sich beschweren";"lamentarsl"
"sich entschuldigen";"scusarsi"
"Entschuldigung";"la scusa"
"hier: Teller";"il platto"
"Respekt; hier: ROcksicht";"INC il rispetto"
"schwierig";"difficlle"
"Reiseburo";"I'agenzia di vlaggl"
"Alternativ-";"alternativo/a"
"umweltbewusst";"rispettoso/a <br> dell'amblente"
"Umwelt";"l'amblente m"
"Reiseziel";"la destinazlone"
"yerschieden";"varlo/a"
"Meditations-";"meditativo/a"
"Strecke, Stuck";"Il tratto"
"Pilgerweg";"la vla dil pellegrinagglo"
"Europa";"l'Europa"
"am nachsten Tag";"ill glorno dopo"
"wunderschon";"bellissimo/a"
"Landschaft";"il paesagglo"
"hier:sporen";"sentire"
"eingetaucht";"Immerso/a"
"Stille";"il silenzio"
"sich zusammenfinden";"ritrovarsi"
"Bequemlichkeit";"la comodita"
"Transport";"il trasporto"
"Gepack(stuck)";"il bagaglio"
"nahere Informationen";"magglori informazioni"
"hier: Moglichkeiten";"la realta"
"StraBe";"la strada"
"England";"l'Inghilterra"
"fuhren nach";"portare a"
"Gemeinde";"il comune"
"Gesamtzahl";"Il totale"
"entlang der Strecke";"lungo ll percorso"
"ubernachten";"pernottare"
"Einrichtung";"la struttura"
"preiswert, gunstig";"a basso costo"
"religios";"religloso/a"
"verkaufen";"Ovendere"
"servieren";"servire"
"umweltfreundlich";"ecologico/a pl-ci/-che"
"entdecken";"scoprire"
"Japan";"l Glappone"
"hingegen";"invece"
"Zeitung";"Il glornale"
"Spanien";"la Spagna"
"Barcelona";"Barcellona"
"Prufung";"l'esame m"
"Universitat";"l'universita"
"Bozen";"Bolzano"
"Winter-";"Invernale"
"Loire";"la Loira"
"Wecker";"la sveglia"
"Domino";"ll domino"
"Gegenteil";"Icontrario"
