#html:true
#deck:Fantastico! A1::DE -> IT::10 - Rivediamo 2
"Ritual";"il rito"
"(Appetit)Happchen";"lo stuzzichino"
"Chips";"le patatine pl"
"sich yerbreiten";"estendersl"
"leicht";"leggero/a"
"Soldat/in";"Il soldato"
"Besatzung";"l'occupazione f"
"zur Zeit des/der";"all'epoca dl"
"Epoche";"l'epoca pl-che"
"Halfte";"la meta"
"sich durchsetzen";"affermarsl"
"andere/r/s";"altro/a"
"Alternative zum Abend- <br> essen, bei dem man sich <br> zusatzlich zu einem <br> Getrank an einem Buffet <br> bedienen kann";"l'apericena"
"Stammenyon";"derivare da"
"Ersatz";"Il/la sostituto/a"
"Buffet";"il buffet"
"inbegriffen";"compreso/a"
"Preis";"il prezzo"
"hier: entstanden";"nato/a"
"gegrillt";"alla griglla"
"passieren";"succedere"
"köstlich";"delizloso/a"
"Dom";"l duomo"
"Gaststatte";"I'osterla"
"typischer Kuchen aus Pisa";"la torta col bischerl"
"Katastrophe";"la catastrofe"
"verspatet, mit Verspatung";"in ritardo"
"Zusammenfassung";"il rlassunto"
"HackfleischsoBe";"il ragu"
"sich setzen";"sedersl""
"erzahlen";"raccontare"
"Herzlichen Glockwunsch!";"Tanti augurl!"
"Bingo-Spiel";"llbingo"
"unregelmaBig";"Irregolare"
"Akademie";"I'accademia"
"hoffen";"sperare"
"GrufB";"Il saluto"
"lieb";"caro/a"
