#html:true
#deck:Fantastico! A1::DE -> IT::11 - Qui si mangia bene
"erster Gang";"il primo"
"Pannacotta";"la panna cotta"
"salzig";"salato/a"
"Tisch";"iltavolo"
"zweiter Gang";"il secondo"
"gemischte Grillplatte";"la grigliata mista"
"gemischt";"misto/a"
"Beilage";"ilcontorno"
"scharf";"plccante"
"Rechnung";"Il conto"
"Vorspeise";"l'antipasto"
"hier: auswarts";"fuorl"
"wie oft?";"quante volte?"
"Gelegenheit";"l'occaslone f"
"Notiz";"l'appunto"
"Auf welchen Namen?";"A che nome?"
"hier: Reservierung";"la prenotazione"
"hier: reservieren";"prenotare"
"antworten";"rlspondere""
"notieren";"prendere nota"
"hier: Speisekarte";"il menu"
"kennen";"conoscere"
"geschnittenes Rindfleisch <br> auf Rucola mit Olivenöl <br> Balsamico und Parmesan";"la tagllata di manzo"
"Rindfleisch";"it manzo"
"mit Tomaten";"al pomodoro"
"geröstete WeiBbrotscheibe <br> mit Belag";"Il crostino"
"nach Art des Hauses";"della casa"
"Meeresfruchte-";"di mare"
"Aufschnitt";"gll affettati pl"
"breite Bandnudeln";"le pappardellep"
"Wildschwein";"Il cinghiale"
"Bruhe";"Il brodo"
"Ravioli";"Iravloll pl"
"Penne";"le penne pl"
"mit Tomaten,Knoblauch <br> und Chili";"all'arrabblata"
"Braten";"l'arrosto"
"Schwein";"Il malale"
"im Ofen gebacken/gebra <br> ten";"al forno"
"Kalbsschnitzel";"la scaloppina dl vltello"
"Kalbfleisch";"Il vitello"
"Wolfsbarsch";"il branzino"
"frittierte Meeresfruchte";"la frittura mista"
"Tintenfisch";"Il calamaro"
"gefullt";"ripleno/a"
"Pommes frites";"le patatine fritte pl"
"gegrillt";"grigllato/a"
"toskanisches Mandelge <br> back";"I cantuccini"
"itglienischer Dessertwein";"Il Vin Santo"
"italienisches Biskuitdessert";"la zuppa Inglese"
"Gedeck";"Il coperto"
"Hortext";"l'audlo"
"unterstreichen";"sottolineare"
"Text";"Il testo"
"geschrieben";"scritto/a <i> inf scrivere </i>"
"zu trinken";"da bere"
"Hauswein";"Il vino della casa"
"anstelle";"al posto di"
"hören";"sentire"
"Rollenspiel";"ll gloco di ruolo"
"noch einmal lesen";"rileggere"
"jeder/jede";"ognuno/a"
"schreiben";"scrivere"
"Bestellung";"l'ordinazione f"
"(aus)tauschen";"scamblarsi"
"Rolle";"il ruolo"
"schneiden";"tagllare"
"Messer";"il coltello"
"Gabel";"la forchetta"
