#html:true
#deck:Fantastico! A1::DE -> IT::12 - Come mi sta
"hier: stehen (Kleidung)";"stare"
"Hose";"I pantalonl pl"
"Rock";"la gonna"
"Pullover";"Il magllone"
"Kleid";"Il vestito"
"Hemd";"la camicla"
"Schal";"la sciarpa"
"Tausch";"lo scamblo"
"Hof";"Ilcortile"
"Sozialzentrum";"Il centro soclale"
"Mehrzweck-";"polivalente"
"tauschen";"scamblare"
"Kleidung(sstuck)";"l'abito"
"Accessoire";"l'accessorlo"
"zweite/r/s";"secondo/a"
"hier: Kleidung";"I vestiti pl"
"hier: anziehen";"mettere"
"nicht mehr";"non.. plu"
"recyceln";"riciclare"
"wegschmeiBen";"buttare yla"
"zahlreich";"numeroso/a"
"anziehen";"mettersl"
"MOtze";"il berretto"
"preisgunstig";"a buon prezzo"
"(T-)Shirt";"la maglletta"
"Secondhand-";"di seconda mano"
"hier: tragen (Kleidung)";"portare"
"Gurtel";"la cintura"
"Modell";"Il modello"
"Krawatte";"la cravatta"
"hier: anprobieren";"provare"
"(Kleider)GroBe";"la taglla"
"tragen";"Indossare"
"Umkleidekabine";"il camerino"
"Mantel";"Il cappotto"
"Welche Farbe hat es?";"DI che colore e?"
"Farbe";"ilcolore"
"KleidungsstOck";"Il capo d'abbigliamento"
"hier: ob";"se"
"Behauptung";"l'affermazione f"
"schwarz";"nero/a"
"grūn";"verde"
"gelb";"glallo/a"
"orange";"arancione"
"lila";"viola"
"rosa";"rosa"
"braun";"marrone"
"grau";"grlglo/a"
"Schrank";"I'armadio"
"er/sie/es muss";"deve <i> inf dovere </i>"
"Kreislauf-";"circolare"
"behalten";"tenere""
"gebraucht";"usato/a"
"jemandem";"a qualcuno"
"jemand/en";"qualcuno"
"online";"online"
"spenden";"dare in beneficenza"
"der/die/das da";"quello/a"
"Demonstrativ-";"dimostrativo/a"
"hubsch";"carino/a"
"Blume";"Il flore"
"originell";"orlginale"
"modern sein, in sein";"andare di moda"
"das stimmt";"evero"
"kombinieren mit";"abbinare a"
"gut zusammenpassen";"stare bene insleme"
"nicht einmal";"non... neanche"
"Jeans";"ljeans pl"
"Handschuhe";"I guanti pl"
"jdn interessieren";"Interessare a qn"
"ausbreiten, zurechtlegen";"sistemare"
"helfen";"alutare"
"interessiert";"Interessato/a"
"Leinen";"Il lino"
"da druben";"lagglu"
"besser noch";"anzl"
"Wie findest du …?";"Che ne pensi di...?"
"jdm recht sein";"andare bene a qn"
"Abgemacht!";"Affare fatto!"
"etwas anderes";"qualcos'altro"
"Was meinst du?";"Che ne dicl?"
"hervorragend";"eccellente"
"Eintrittskarte";"Il biglletto"
"Beispiel";"l'esemplo"
"Pronomen";"il pronome"
"empfehlen";"consigliare"
"römisch";"romano/a"
"Paar";"a ll palo di"
"Schuhe";"le scarpe pl"
"hier: (Schuh)GroBe";"il numero"
"hier: jdm passen";"andare bene a qn"
"(be)zahlen";"pagare"
"Verkaufer/in";"b il/la commesso/a"
"sich umsehen";"dare un'occhlata"
"Spiegel";"lo specchio"
"(Kredit)Karte";"la carta (dl credito)"
"bar zahlen";"pagare in contanti"
"Bargeld";"I contanti pl"
"Minidialog";"c il mini dialogo plghi"
"Situation";"la situazlone"
"(vor)spielen";"Interpretare"
"Keidung";"l'abbigliamento"
"Pulli";"la maglla"
"live aus";"a in diretta da"
"Liveubertragung";"la trasmisslone in <br> diretta"
"Marke";"ill marchlo"
"Modedesigner/in";"lo/la stilista"
"Modenschau";"la sfllata"
"Ausgabe";"I'edizlone f"
"Gold";"l'oro"
"Model";"la modella"
"Pailletten";"le paillette pl"
"Brautkleid";"il vestito da sposa"
"Wert";"Il valore"
"ab";"b a partire da"
"fehlend";"mancante"
"hundert";"cento"
"tausend";"mille"
"bilden";"formare"
"Null";"lo zero"
"fehlen";"b mancare"
"jung";"glovane"
"Besucher/in";"c il/la ylsltatore/-trice"
"Eroffnungs-";"di apertura"
"Abend";"la serata"
"Buchhandlung";"a la librerla"
"persönlich";"personale"
"Meinung";"l'opinlone f"
"Komparativ";"b il comparativo"
"erklaren";"splegare"
"Grund";"il perche"
"im Internet";"su Internet"
"Fach-";"specializzato/a"
"preiswert";"economico/a pl-ci-che"
"beschreiben";"a descrivere"
"Zettel, Blatt Papier";"il foglio"
"zeichnen";"disegnare"
"Mall";"INC il rifiuto"
"Textil-";"tessile"
"global";"globale"
"Stoff";"la stoffa"
"wenn";"quando"
"perplex sein";"rimanere perplesso/a"
"Naturlich!";"Certo!"
"SpaB machen";"essere divertente"
"niemand";"nessuno/a"
"kreieren, schaffen";"creare"
"Wiederverwendung";"il riuso"
"sich spezialisieren auf";"speclalizzarsi in"
"wiederverwerten";"recuperare"
"Material";"il materlale"
"Kreation";"la creazione"
"retro";"retro"
"Touch";"ill tocco"
"passend, geeignet";"adatto/a"
"teilnehmen";"partecipare"
"gewidmet";"dedicato/a a"
"Kollektion";"la collezione"
"horen von";"sentire parlare di"
"Art";"Ilgenere"
"genauer gesagt";"plu precisamente"
"Produktion, Herstellung";"la produzione"
"Stoff";"il tessuto"
"Wolle";"la lana"
"Hauptstadt";"la capltale"
"Lumpen";"lo stracclo pl-ci"
"Vergangenheit";"il passato"
"Million";"il milione"
