#html:true
#deck:Fantastico! A1::DE -> IT::13 - Tutti in forma
"in Form, fit";"In forma"
"Fieber";"la febbre"
"Auge";"l'occhlo"
"erkaltet";"raffreddato/a"
"Schmerz";"Il dolore"
"mir tut .….weh";"ml fa male."
"Hals";"la gola"
"Kopfschmerzen";"Il mal di testa <br> Il/la dottore/dottoressa Arzt/Arztin"
"sich fuhlen";"sentirsi"
"voll";"pleno/a"
"Energie";"I'energla"
"Kraft";"la forza"
"sich sportlich betatigen";"fare attivita fisica"
"regelmaßig";"in modo regolare"
"Lauf";"la corsa"
"optimistisch";"ottimista"
"gut gelaunt";"di buon umore"
"meditieren";"meditare"
"unruhig, nervos";"ansioso/a"
"konzentriert";"concentrato/a"
"notwendig, notig";"necessario/a"
"Hilfe";"l'aluto"
"Depression";"la depresslone"
"spazieren gehen";"passegglare <br> terapeutico/a pl-ci/-che heilsam"
"sich wohlfuhlen";"sentirsl bene"
"gesund";"In salute"
"rauchen";"fumare"
"Alkohol";"l'alcolm"
"mindestens";"almeno"
"hier: Wohlbefinden";"il benessere"
"Rundum-";"a gradl"
"sich einschreiben, sich <br> anmelden";"Iscriversl""
"verbessern";"migliorare"
"organisatorische/r <br> Leiter/in";"il/la coordinatore/-trice"
"hier: ungesund";"scorretto/a"
"Körperteil";"la parte del corpo"
"Kopf";"la testa"
"Bauch";"la pancla"
"Bein";"la gamba"
"Arm";"il bracclo <i> pl le braccia </i>"
"Hand";"la mano"
"Gesicht";"il viso"
"Nase";"Ilnaso"
"Ohr";"l'orecchlo <i> pl le orecchie </i>"
"Mund";"la bocca"
"Haare";"ilcapelli pl"
"Knie";"ilginocchlopl le <br> ginocchia"
"Herz";"Il cuore"
"Finger";"le dita pl"
"Massage";"ll massagglo"
"Abhilfe, Heilmitel";"it rimedio"
"Meditation";"la meditazlone"
"Physiotherapie";"la fisloterapla"
"Tai-Chi";"ll tai chi"
"Kamillentee";"la camomilla"
"Fortsetzung";"la continuazione"
"Wörter-";"lessicale"
"alle aufstehen";"tutti in pledl"
"in .….herum";"in giro per"
"abwechselnd";"a turno"
"berühren, anfassen";"toccare"
"so schnell wie moglich";"plu rapidamente <br> possiblle"
"schnell";"rapidamente"
"Rat";"ll consiglio"
"von grundlegender Be- <br> deutung";"fondamentale"
"Hulsenfruchte";"I legumil pl"
"gezuckert, gesut";"zuccherato/a"
