#html:true
#deck:Fantastico! A1::DE -> IT::14 - Come a casa
"Barock";"il barocco"
"Wohnung";"l'appartamento"
"ruhig";"tranquillo/a"
"vierte/r/s";"quarto/a"
"Stock(werk)";"Il plano"
"Schlafzimmer";"la camera da letto"
"Wohnzimmer";"Il sogglorno"
"hell";"luminoso/a"
"Wohnkuche";"la cucina abltablle"
"zur Verfugung stellen";"mettere a disposizlone"
"mieten; vermieten";"affittare"
"Spulmaschine";"la lavastoviglie"
"Sofa";"Il divano"
"Stuhl";"la sedia"
"Möbel";"Il mobile"
"entsprechen";"corrispondere"
"verkehrsreich";"trafflcato/a"
"Besitzer/in";"Il/la proprletarlo/a"
"Gast";"l'osplte m/f"
"plus";"più"
"Stadtrand";"la periferla"
"geraumig groB";"spazioso/a"
"offentliches Verkehrsmit- <br> tel";"il mezzo pubblico"
"Ferienwohnung, haus";"la casa vacanza"
"Annonce";"l'annuncio"
"Unterkunft";"la sistemazione"
"Anspruch";"l'esigenza"
"Hund";"Il cane"
"herumfahren in";"girare"
"Bauernhaus";"il casale"
"Oberflache";"la superficle"
"Mikrowelle";"il microonde"
"Tier";"l'animalem"
"erlaubt";"ammesso/a"
"Wohnzimmer";"Il salotto"
"hier: Teil";"la porzione"
"hier: Arbeitszimmer";"lo studio"
"Waschmaschine";"la lavatrice"
"Option";"l'opzione f"
"entfernt";"distante"
"Ferien";"le ferle pl"
"Vergleich";"ll confronto"
"Vergleich";"il paragone"
"Vergleiche anstellen";"fare paragoni"
"angleichen";"accordare"
"es ist nicht notwendig";"non c'e bisogno"
"korrigieren";"correggere"
"gegenseitig";"a vicenda"
"Po (Fluss)";"IlPo"
"Tiber";"il Tevere"
"Vatikanische Museen";"I Musel Vaticanl pl"
"Telefonat";"la telefonata"
"parken";"parcheggiare"
"Check-in";"Il check-in"
"Check-out";"il check-out"
"Gebohren";"le spese pl"
"Reinigung";"le pulizle pl"
"Schlafgelegenheit";"il posto letto"
"Obergabe";"la consegna"
"in der Nahe";"nelle vicinanze"
"man braucht";"ci vuole <i> inf volerci </i>"
"Bezahlung";"il pagamento"
"Zugang";"l'accesso"
"Behinderte/r";"Il/la disabile"
"rekonstruieren";"ricostruire (-isc-)"
"Inhalt";"Il contenuto"
"reservieren";"riservare"
"informieren";"Informare"
"Abreise";"la partenza"
"hier:verlassen";"lasclare"
"bis";"entro"
"Stellplatz";"il posto auto"
"was ..betrifft";"per quanto riguarda"
"Oberweisung";"il bonifico pl-ci"
"Kurtaxe";"la tassa dl sogglorno"
"freundlich";"cordiale"
"Beschreibung";"la descrizione"
"hier: inserieren";"inserire (-isc-)"
"Webseite";"Il sito"
"paarweise";"a copple"
"Paar";"la coppla"
"erhalten";"ottenere"
"Detail";"Il dettagllo"
"hier: in";"dentro"
"möbliert";"ammobillato/a"
"Grundriss";"la piantina"
"Kuhlschrank";"Il frigorifero"
"Badewanne";"la vasca da bagno"
"Bett";"il letto"
"Sessel";"la poltrona"
"Waschbecken";"il lavandino"
"duschen";"fare la doccla"
"basteln";"fare bricolage"
"aufbewahren";"conservare"
"auf";"sopra"
"auBerhalb";"fuorl da"
"sich vorstellen";"immaginare"
"verstecken";"nascondere"
"Ankunft";"a l'arrivo"
"zuordnen, verbinden";"collegare"
"Reaktion";"la reazione"
"Kompliment!";"Complimenti!"
"bequem";"comodo/a"
"Beistelltisch";"Il tavolino"
"Lampe";"la lampada"
"möbliert";"arredato/a"
"vergleichen";"paragonare"
"Abbildung";"I'illustrazione f"
"Mehrfamilienhaus";"a Il condominio"
"ringsherum";"Intorno"
"Dachterrassenwohnung";"l'attico pl-ci"
"Nachbar/in";"l/la vidno/a"
"Verruckte/r";"ll/la matto/a"
"sich verabschieden";"salutarsl"
"musikalisch";"musicale"
"war";"era <i> inf essere </i>"
"Zimmerdecke";"Ill soffitto"
"konnte";"poteva <i> inf potere </i>"
"Boden";"Il pavimento"
"Dach";"Il tetto"
"Restaurierung";"INC Il restauro"
"Behausung, Wohnraum";"I'abitazionef"
"entwerfen, planen";"progettare"
"restaurieren";"restaurare"
"umbauen";"ristrutturare"
"Ursprung";"l'origine f"
"wieder, erneut";"di nuovo"
"Trullo";"Il trullo"
"Bau";"la costruzione"
"Stein";"la pletra"
"in Form von, -formig";"a forma di"
"Kegel";"Il cono"
"Mittel-, Zentral-";"I Centro di"
"Sud-";"Il Sud dl"
"verbunden";"collegato/a"
"Raum";"il locale"
"auf der anderen Seite";"dall'altra parte"
"Tar";"la porta"
"Loch";"ll buco"
"oben";"In alto"
"Innenbereich";"I'interno"
"AuBenbereich";"l'esterno"
"in vollen Zogen";"plenamente"
"Architektur";"l'architettura"
"apulisch";"pugllese"
"kontaktieren";"contattare"
"verfugbar";"disponibile"
"Mieten";"l'affltto"
"untergebracht sein";"sogglornare"
