#html:true
#deck:Fantastico! A1::DE -> IT::15 - Rivediamo 3
"Mittagspause";"la pausa pranzo"
"Kantine, Menda";"la mensa"
"PC";"IlPC"
"Fertiggericht";"il platto pronto"
"Fertiggericht";"il cibo precotto"
"Mahlzeit";"il pasto"
"Zwischenmahlzeit, Imbiss";"lo spunting"
"aufwarmen";"scaldare"
"Firmen-";"aziendale"
"oblich";"comune"
"Gluckliche/r";"Il/la fortunato/a"
"umfassen, bestehen aus";"comprendere"
"voran-/vorausgehen";"precedere"
"in die richtige Reihenfolge";"mettere nell'ordine"
"bringen";"corretto"
"falsch";"sbagllato/a"
"beige";"beige"
"sich wehtun an";"farsi male a"
"gut";"bravo/a"
"ideal";"Ideale"
"einrichten";"arredare"
"neu zeichnen";"ridisegnare"
"Zeichnung";"il disegno"
"bekommen";"guadagnare"
"Punkt";"il punto"
"gewinnen";"vincere"
"hier:mehr";"plù"
"schlecht";"male"
"pessimistisch";"pessimista"
"Ausgang";"l'uscita"
"sich verkuhlen";"prendere freddo"
"Schmerzen haben an";"avere male a"
"beste/r/s";"migliore"
