#html:true
#deck:Fantastico! A1::IT -> DE::03 - Che profumo
"Che profumo!";"Was fur ein Duft!"
"Il profumo";"Duft"
"amore mlo";"mein Liebling, mein <br> Schatz"
"Il caffe";"hier: Espresso"
"l'arabica";"Arabica-Kaffee"
"Il caffe ristretto";"mit weniger Wasser zube- <br> reiteter,starkerer Espresso"
"il caffe lungo";"mit mehr Wasser zuberei <br> teter, leichterer Espresso"
"Il caffe macchiato";"Espresso mit ein wenig <br> geschaumter Milch"
"Ilcaffellatte";"Milchkaffee,Caffe Latte"
"il prosecco";"Prosecco"
"la sete";"Durst"
"Iltramezzino";"Sandwich"
"il latte";"Milch"
"la fame";"Hunger"
"il cornetto";"Hörnchen"
"il panino";"Brotchen"
"l'acqua";"Wasser"
"prego";"bitte"
"la spremuta d'aranda";"frisch gepresster Oran- <br> gensaft"
"la spremuta";"frisch gepresster Saft"
"l'aranda";"Orange"
"bere";"trinken"
"manglare";"essen"
"il banco";"Tresen"
"il llstino";"Getranke-und Speisekar- <br> te"
"antico/a pl-chi/-che";"alt, antik"
"Torino";"Turin"
"la caffetterla";"hier: HeiBgetranke"
"la speclalita";"Spezialitat"
"il bicerin";"Turiner HeiBgetrank aus <br> Espresso, Kakao und <br> Milchcreme"
"Il caffe americano";"mit heiBem Wasser ver <br> dunnter Espresso"
"decaffelnato/a";"koffeinfrei"
"la coccolata calda";"heiBe Schokolade"
"la tisana";"Krautertee"
"la biblta";"Erfrischungsgetrank"
"I'acqua minerale";"Mineralwasser"
"la birra";"Bier"
"il succo di frutta";"Fruchtsaft"
"ll te freddo";"Eistee"
"it liquore";"Likor"
"l'aperitivo";"Aperitif"
"blanco/a pl-chi-che";"WeiB-,weiB"
"rosso/a";"Rot-, rot"
"lo spumante";"Sekt"
"la grappa";"Grappa"
"I'amaro";"Magenbitter"
"itlimoncello";"Zitronenlikor aus Kampa- <br> nien"
"alcolico/a <i> pl -ci/-che </i>";"alkoholisch"
"analcolico/apl-ci/-che";"alkoholfrei"
"lo spritz";"Spritz"
"la fetta di torta";"StOckKuchen"
"la pizzetta";"kleine Pizza"
"il toast";"Toast"
"che cos'e...?";"was ist.?"
"che cosa?";"was?"
"prendono <i> inf prendere' </i>";"sie nehmen"
"Ell vostro turno!";"Sie sind an der Reihe!"
"Quant'e?";"Was macht das?"
"oggl";"heute"
"offro <i> inf offrire </i>";"ich zahle"
"offrire"";"hier: zahlen, Obernehmen"
"naturale";"hier: still"
"la crema dl latte";"Milchcreme"
"preferisco <i> inf preferire </i>";"ich bevorzuge"
"preferire (-isc-)";"bevorzugen, lieber mogen"
"senza";"ohne"
"ecco a Lel";"hier bitte (fur Sie)"
"lo scontrino";"Kassenbon"
"l'espresslone f";"Ausdruck"
"utile";"nOtzlich"
"il pranzo";"Mittagessen"
"veloce";"schnell"
"l'insalata";"Salat"
"ancora una volta";"noch einmal"
"qualcosa";"etwas"
"qualcosa da manglare";"etwas zu essen"
"volentierl";"gerne"
"ordinare";"bestellen"
"Senta!";"Horen Sie!"
"l'oliva";"Olive"
"il mals";"Mais"
"la mozzarella";"Mozzarella"
"ill tonno";"Thunfisch"
"ill pomodoro";"Tomate"
"la cipolla";"Zwiebel"
"va bene";"in Ordnung, gut"
"qualcosa da bere";"etwas zu trinken"
"gassato/a";"mit Kohlensaure"
"vorrel <i> inf volere </i>";"hier: ich hatte gern"
"preferisce <i> inf preferire </i>";"Sie mochten lieber"
"tornare";"zurUckkommen"
"subito";"gleich, sofort"
"al limone";"mit Zitrone"
