#html:true
#deck:Fantastico! A1::IT -> DE::05 - Rivediamo 1
"la nocdola";"Haselnuss"
"la focacca pl-ce";"Focaccia,Fladenbrot"
"da solo/a";"allein"
"essere il/la <br> protagonista";"die Hauptrolle spielen"
"la sfogliatella";"suditalienisches Blatter- <br> teiggeback"
"il cannolo";"sizilianisches gefulltes <br> Teigrollchen"
"ilmaritozzo";"romisches gefulltes Milch- <br> brotchen"
"semplice";"einfach"
"in ogni caso";"auf jeden Fall"
"il simbolo";"Symbol"
"all'itallana";"italienisch"
"ll/la barista";"Barmann/-frau"
"la radlo";"Radio"
"entrare";"hineingehen"
"la vallgla";"Koffer"
"nervoso/a";"nervos"
"velocemente";"schnell"
"chi sbaglla impara";"aus Fehlern lernt man"
"sbagliare";"einen Fehler machen"
