#html:true
#deck:Fantastico! A1::IT -> DE::09 - Aria di vacanza
"sportivo/a";"Sport-, sportlich"
"culturale";"Kultur-, kulturell"
"relax";"Entspannungs-"
"Ia Calabria";"Kalabrien"
"Ilcastello";"Schloss"
"la Valle d'Aosta";"Aostatal"
"fa bel tempo";"es ist schones Wetter"
"il tempo";"hier:Wetter"
"vlagglare";"reisen"
"plove <i> inf piovere </i>";"es regnet"
"divertirsi";"sich amusieren, SpaB <br> haben"
"riposarsl";"sich ausruhen"
"l'ostello";"Jugendherberge"
"nolegglare";"ausleihen; vereihen"
"il campegglo";"Camping, Campen"
"la campagna";"Land"
"fa caldo";"es ist heiB"
"fa freddo";"es ist kalt"
"fare il bagno";"baden"
"il progetto";"Plan"
"Che tipo di...?";"Welche Art von …?"
"la proposta";"Vorschlag"
"scegliere"";"(aus)wahlen"
"segnare";"ankreuzen,markieren"
"menzionato/a";"erwahnt"
"stare";"hier: sich aufhalten"
"passare";"verbringen"
"il tempo";"hier: Zeit"
"vivere"";"hier: erleben"
"I'avventura";"Abenteuer"
"prendere il sole";"sich sonnen"
"l'abltudine f";"Gewohnheit"
"all'estero";"ins Ausland"
"l'estero";"Ausland"
"altro";"hier: anderes"
"il camper";"Wohnmobil"
"Il bed & breakfast";"Bed and Breakfast"
"la casa in affitto";"Mietwohnung,hier: <br> Ferienwohnung"
"la Norvegla";"Norwegen"
"le Dolomiti";"Dolomiten"
"le Alpl";"Alpen"
"le Marche";"Marken"
"Il Lazio";"Latium"
"Il Veneto";"Venetien"
"Il lago di Como";"Comer See"
"il Vesuvlo";"Vesuv"
"il vlagglo premlo";"gewonnene Reise"
"la Francla";"Frankreich"
"la Sardegna";"Sardinien"
"Il lago di Ginevra";"Genfer See"
"Il Monte Bianco";"Mont Blanc"
"Zurlgo";"Zurich"
"I Pirenel";"Pyrenaen"
"la Sicllia";"Sizilien"
"la Danimarca";"Danemark"
"Il Piemonte";"Piemont"
"Hal mal...?";"Hast du jemals …?"
"Sel mal...?";"Bist du jemals …?"
"organizzato/a";"organisiert"
"a cinque stelle";"Funfsterne-"
"con chi?";"mit wem?"
"la staglone";"hier: Jahreszeit"
"seguente";"folgende/r/s"
"proprlo/a";"eigene/r/s"
"Il picnic";"Picknick"
"fare snowboard";"snowboarden"
"la primavera";"Fruhling"
"l'estatef";"Sommer"
"l'autunno";"Herbst"
"l'inverno";"Winter"
"l commento";"Kommentar"
"c'e ll sole";"die Sonne scheint"
"c'e nebbla";"es ist nebelig"
"la nebbla";"Nebel"
"nevica <i> inf nevicare </i>";"es schneit"
"Trleste";"Triest"
"c'e vento";"es ist windig"
"Il vento";"Wind"
"nuvoloso/a";"bewǒlkt"
"brutto/a";"hier: schlecht"
"Che tempo fa?";"Wie ist das Wetter?"
"Dublino";"Dublin"
"Mosca";"Moskau"
"ci sono...gradi";"es hat ... Grad"
"'ingresso";"hier: Eingang"
"Ilclelo";"Himmel"
