#html:true
#deck:Fantastico! A1::IT -> DE::10 - Rivediamo 2
"il rito";"Ritual"
"lo stuzzichino";"(Appetit)Happchen"
"le patatine pl";"Chips"
"estendersl";"sich yerbreiten"
"leggero/a";"leicht"
"Il soldato";"Soldat/in"
"l'occupazione f";"Besatzung"
"all'epoca dl";"zur Zeit des/der"
"l'epoca pl-che";"Epoche"
"la meta";"Halfte"
"affermarsl";"sich durchsetzen"
"altro/a";"andere/r/s"
"l'apericena";"Alternative zum Abend- <br> essen, bei dem man sich <br> zusatzlich zu einem <br> Getrank an einem Buffet <br> bedienen kann"
"derivare da";"Stammenyon"
"Il/la sostituto/a";"Ersatz"
"il buffet";"Buffet"
"compreso/a";"inbegriffen"
"il prezzo";"Preis"
"nato/a";"hier: entstanden"
"alla griglla";"gegrillt"
"succedere";"passieren"
"delizloso/a";"köstlich"
"l duomo";"Dom"
"I'osterla";"Gaststatte"
"la torta col bischerl";"typischer Kuchen aus Pisa"
"la catastrofe";"Katastrophe"
"in ritardo";"verspatet, mit Verspatung"
"il rlassunto";"Zusammenfassung"
"il ragu";"HackfleischsoBe"
"sedersl"";"sich setzen"
"raccontare";"erzahlen"
"Tanti augurl!";"Herzlichen Glockwunsch!"
"llbingo";"Bingo-Spiel"
"Irregolare";"unregelmaBig"
"I'accademia";"Akademie"
"sperare";"hoffen"
"Il saluto";"GrufB"
"caro/a";"lieb"
