#html:true
#deck:Fantastico! A1::IT -> DE::13 - Tutti in forma
"In forma";"in Form, fit"
"la febbre";"Fieber"
"l'occhlo";"Auge"
"raffreddato/a";"erkaltet"
"Il dolore";"Schmerz"
"ml fa male.";"mir tut .….weh"
"la gola";"Hals"
"Il mal di testa <br> Il/la dottore/dottoressa Arzt/Arztin";"Kopfschmerzen"
"sentirsi";"sich fuhlen"
"pleno/a";"voll"
"I'energla";"Energie"
"la forza";"Kraft"
"fare attivita fisica";"sich sportlich betatigen"
"in modo regolare";"regelmaßig"
"la corsa";"Lauf"
"ottimista";"optimistisch"
"di buon umore";"gut gelaunt"
"meditare";"meditieren"
"ansioso/a";"unruhig, nervos"
"concentrato/a";"konzentriert"
"necessario/a";"notwendig, notig"
"l'aluto";"Hilfe"
"la depresslone";"Depression"
"passegglare <br> terapeutico/a pl-ci/-che heilsam";"spazieren gehen"
"sentirsl bene";"sich wohlfuhlen"
"In salute";"gesund"
"fumare";"rauchen"
"l'alcolm";"Alkohol"
"almeno";"mindestens"
"il benessere";"hier: Wohlbefinden"
"a gradl";"Rundum-"
"Iscriversl"";"sich einschreiben, sich <br> anmelden"
"migliorare";"verbessern"
"il/la coordinatore/-trice";"organisatorische/r <br> Leiter/in"
"scorretto/a";"hier: ungesund"
"la parte del corpo";"Körperteil"
"la testa";"Kopf"
"la pancla";"Bauch"
"la gamba";"Bein"
"il bracclo <i> pl le braccia </i>";"Arm"
"la mano";"Hand"
"il viso";"Gesicht"
"Ilnaso";"Nase"
"l'orecchlo <i> pl le orecchie </i>";"Ohr"
"la bocca";"Mund"
"ilcapelli pl";"Haare"
"ilginocchlopl le <br> ginocchia";"Knie"
"Il cuore";"Herz"
"le dita pl";"Finger"
"ll massagglo";"Massage"
"it rimedio";"Abhilfe, Heilmitel"
"la meditazlone";"Meditation"
"la fisloterapla";"Physiotherapie"
"ll tai chi";"Tai-Chi"
"la camomilla";"Kamillentee"
"la continuazione";"Fortsetzung"
"lessicale";"Wörter-"
"tutti in pledl";"alle aufstehen"
"in giro per";"in .….herum"
"a turno";"abwechselnd"
"toccare";"berühren, anfassen"
"plu rapidamente <br> possiblle";"so schnell wie moglich"
"rapidamente";"schnell"
"ll consiglio";"Rat"
"fondamentale";"von grundlegender Be- <br> deutung"
"I legumil pl";"Hulsenfruchte"
"zuccherato/a";"gezuckert, gesut"
"il sonno";"Schlaf"
"iIl riposo";"Erholung"
"praticare";"praktizieren, machen"
"rldere"";"lachen"
"il/la familiare";"Familienangehorige/r"
"regolarmente";"regelmabig"
"controllare";"untersuchen, prufen"
"ringrazlare";"sich bedanken"
"il/la consulente";"Berater/in"
"la lista";"Liste"
"l'imperativo";"Imperativ, Befehlsform"
"l'infinito";"Infinitiv"
"corrispondente";"entsprechend"
"alzare";"heben, strecken"
"eseguire";"durchfuhren"
"l'lstruzione f";"Anweisung"
"a pagina...";"auf Seite …"
"la pagina";"Seite"
"la lavagna";"Tafel"
"fuori dalla finestra";"aus dem Fenster"
"la flnestra";"Fenster"
"prendere con filosofia";"gelassen nehmen"
"la fllosofla";"Philosophie"
"avere fretta";"es eilig haben, in Eile sein"
"la fretta";"Eile"
"pesante";"schwer (verdaulich)"
"solo/a";"hier: einsam"
"da quanto tempo?";"wie lange?, seit wann?"
"Il sintomo";"Symptom"
"I'altro lerl";"vorgestern"
"capire (-isc-)";"verstehen"
"la tosse";"Husten"
"stesso/a";"gleiche/r/s"
"I'influenza";"Grippe"
"Infiammato/a";"entzundet"
"prendere I'influenza";"die Grippe bekommen"
"l'antibioticopl-";"Antibiotikum"
"per il momento";"furs Erste"
"l'antidolorifico <i> pl -i </i>";"Schmerzmittel"
"lo sciroppo";"Saft"
"la pastiglia";"(Lutsch)Tablette"
"la vitamina";"Vitamin"
"Il mlele";"Honig"
"alla salvla";"Salbei-"
"dovere"";"mussen"
"ll/la pazlente";"Patient/in"
"la dlarrea";"Durchfall"
"veramente";"wirklich"
"l'immagine f";"Bild"
"In offerta";"im Sonderangebot"
"la compressa";"Tablette"
"il termometro digitale";"digitales Fieberthermo- <br> meter"
"lo spray";"Spray"
"Il disinfettante";"Desinfektionsmittel"
"la pomata";"Salbe"
"il cerotto";"Pflaster"
"la goccia pl-ce";"Tropfen"
"dl primo soccorso";"Erste-Hilfe-"
"forte";"stark"
"ll caso";"Fall"
"la puntura d'insetto";"Insektenstich"
"l'insetto";"Insekt"
"alto/a";"hoch"
"la ferita";"Wunde"
"l'allergla";"Allergie"
"la digestione";"Verdauung"
"caldo/a";"warm, heiB"
"ll ghlacco pl-ci";"Eis"
"pungere";"stechen"
"a mandare";"schicken"
"Identificare";"identifizieren"
"ll tesoro";"Schatz"
"frequentare";"besuchen"
"l'unico/a pl-ci/-che";"der/die Einzige"
"gli occhiall pl";"Brille"
"ricclo/a pl-ci/-ce";"lockig"
"il/la fldanzato/a";"feste/r Freund/in"
"castano/a";"braun"
"timldo";"schochtern"
"anziano/a";"alt, altere/r/s"
"il/la farmacista";"Apotheker/in"
"in penslone";"in Rente"
"blondo/a";"blond"
"lisclo/a";"glatt"
"il/la veterinarlo/a";"Tierarzt/-arztin"
"dietro (a)";"hinter"
"alto/a";"hier: groB"
"il pllates";"Pilates"
"notizla";"Nachricht"
"b basso/a";"klein"
"robusto/a";"kraftig"
"la barba";"Bart"
"bruno/a";"braunhaarig"
"c magro/a";"dunn"
"antipatico/a pl-ci/-che";"unsympathisch"
"estroverso/a";"extrovertiert"
"calvo/a";"kahl, glatzköpfig"
"Ibaffl pl";"Schnurrbart"
"INC se";"wenn"
