#html:true
#deck:Fantastico! A1::IT -> DE::14 - Come a casa
"il barocco";"Barock"
"l'appartamento";"Wohnung"
"tranquillo/a";"ruhig"
"quarto/a";"vierte/r/s"
"Il plano";"Stock(werk)"
"la camera da letto";"Schlafzimmer"
"Il sogglorno";"Wohnzimmer"
"luminoso/a";"hell"
"la cucina abltablle";"Wohnkuche"
"mettere a disposizlone";"zur Verfugung stellen"
"affittare";"mieten; vermieten"
"la lavastoviglie";"Spulmaschine"
"Il divano";"Sofa"
"la sedia";"Stuhl"
"Il mobile";"Möbel"
"corrispondere";"entsprechen"
"trafflcato/a";"verkehrsreich"
"Il/la proprletarlo/a";"Besitzer/in"
"l'osplte m/f";"Gast"
"più";"plus"
"la periferla";"Stadtrand"
"spazioso/a";"geraumig groB"
"il mezzo pubblico";"offentliches Verkehrsmit- <br> tel"
"la casa vacanza";"Ferienwohnung, haus"
"l'annuncio";"Annonce"
"la sistemazione";"Unterkunft"
"l'esigenza";"Anspruch"
"Il cane";"Hund"
"girare";"herumfahren in"
"il casale";"Bauernhaus"
"la superficle";"Oberflache"
"il microonde";"Mikrowelle"
"l'animalem";"Tier"
"ammesso/a";"erlaubt"
"Il salotto";"Wohnzimmer"
"la porzione";"hier: Teil"
"lo studio";"hier: Arbeitszimmer"
"la lavatrice";"Waschmaschine"
"l'opzione f";"Option"
"distante";"entfernt"
"le ferle pl";"Ferien"
"ll confronto";"Vergleich"
"il paragone";"Vergleich"
"fare paragoni";"Vergleiche anstellen"
"accordare";"angleichen"
"non c'e bisogno";"es ist nicht notwendig"
"correggere";"korrigieren"
"a vicenda";"gegenseitig"
"IlPo";"Po (Fluss)"
"il Tevere";"Tiber"
"I Musel Vaticanl pl";"Vatikanische Museen"
"la telefonata";"Telefonat"
"parcheggiare";"parken"
"Il check-in";"Check-in"
"il check-out";"Check-out"
"le spese pl";"Gebohren"
"le pulizle pl";"Reinigung"
"il posto letto";"Schlafgelegenheit"
"la consegna";"Obergabe"
"nelle vicinanze";"in der Nahe"
"ci vuole <i> inf volerci </i>";"man braucht"
"il pagamento";"Bezahlung"
"l'accesso";"Zugang"
"Il/la disabile";"Behinderte/r"
"ricostruire (-isc-)";"rekonstruieren"
"Il contenuto";"Inhalt"
"riservare";"reservieren"
"Informare";"informieren"
"la partenza";"Abreise"
"lasclare";"hier:verlassen"
"entro";"bis"
"il posto auto";"Stellplatz"
"per quanto riguarda";"was ..betrifft"
"il bonifico pl-ci";"Oberweisung"
"la tassa dl sogglorno";"Kurtaxe"
"cordiale";"freundlich"
"la descrizione";"Beschreibung"
"inserire (-isc-)";"hier: inserieren"
"Il sito";"Webseite"
"a copple";"paarweise"
"la coppla";"Paar"
"ottenere";"erhalten"
"Il dettagllo";"Detail"
"dentro";"hier: in"
"ammobillato/a";"möbliert"
"la piantina";"Grundriss"
"Il frigorifero";"Kuhlschrank"
"la vasca da bagno";"Badewanne"
"il letto";"Bett"
"la poltrona";"Sessel"
"il lavandino";"Waschbecken"
"fare la doccla";"duschen"
"fare bricolage";"basteln"
"conservare";"aufbewahren"
"sopra";"auf"
"fuorl da";"auBerhalb"
"immaginare";"sich vorstellen"
"nascondere";"verstecken"
"a l'arrivo";"Ankunft"
"collegare";"zuordnen, verbinden"
"la reazione";"Reaktion"
"Complimenti!";"Kompliment!"
"comodo/a";"bequem"
"Il tavolino";"Beistelltisch"
"la lampada";"Lampe"
"arredato/a";"möbliert"
"paragonare";"vergleichen"
"I'illustrazione f";"Abbildung"
"a Il condominio";"Mehrfamilienhaus"
"Intorno";"ringsherum"
"l'attico pl-ci";"Dachterrassenwohnung"
"l/la vidno/a";"Nachbar/in"
"ll/la matto/a";"Verruckte/r"
"salutarsl";"sich verabschieden"
"musicale";"musikalisch"
"era <i> inf essere </i>";"war"
"Ill soffitto";"Zimmerdecke"
"poteva <i> inf potere </i>";"konnte"
"Il pavimento";"Boden"
"Il tetto";"Dach"
"INC Il restauro";"Restaurierung"
"I'abitazionef";"Behausung, Wohnraum"
"progettare";"entwerfen, planen"
"restaurare";"restaurieren"
"ristrutturare";"umbauen"
"l'origine f";"Ursprung"
"di nuovo";"wieder, erneut"
"Il trullo";"Trullo"
"la costruzione";"Bau"
"la pletra";"Stein"
"a forma di";"in Form von, -formig"
"Il cono";"Kegel"
"I Centro di";"Mittel-, Zentral-"
"Il Sud dl";"Sud-"
